file_name,value_per_atom,composition,HHI_P,HHI_R
290_W24P5,0.4316480836713108,P5W24,6830.4490551265,4327.128151179761
291_Fe24Pb5,0.554399661464772,Fe24Pb5,2530.792667530763,1574.39022337435
292_Ga14Pt6,-0.5450134948837502,Ga7Pt3,5500,5825.98841158171
293_Mo4Pb2,0.5902547794711998,Mo2Pb,2555.758243961111,3482.820487120377
295_Fe2Pb,1.38281204978178,Fe2Pb,2594.926150083101,1659.901533444134
296_Ag2Ge2,0.173659045568022,AgGe,2849.919505041877,1601.209695736814
297_FePd3,-0.1061349423812592,FePd3,3080.897348742352,7017.403127124405
298_PtV3,-0.2900346358635062,V3Pt,4533.614010580368,6596.1817546855
299_NbW3,0.4719516784127222,NbW3,7216.253670434782,4948.761011304348
300_Ag2Ca4,-0.2481122537202737,Ca2Ag,2351.02843144659,1442.63068264617
302_CuK,0.4781945344055849,KCu,1638.091058149357,3671.190314513324
303_Sb3Ge,0.2660213422478197,GeSb3,7468.72488125685,3151.187431494337
304_AlCu5,-0.1362652104227132,AlCu5,1600,1460.863598141243
305_Au3Ga,-0.0390593413436333,GaAu3,1564.381857827966,1094.987198192084
307_NbW3,0.4627843224115704,NbW3,7216.253670434782,4948.761011304348
308_Na4Pb,-0.0642697687374035,Na4Pb,2208.172959990177,1400.390529992019
309_Fe16Pd8,0.2678129794078536,Fe2Pd,2790.335151987529,4620.265003897116
310_Ba6Sn2,-0.1445053251641583,Ba3Sn,2910.524203349972,2143.417355862451
311_Fe3Pd,0.0705064552450434,Fe3Pd,2710.766366739063,3963.82252559727
312_Nb2W4,0.1948479195466153,NbW2,7302.569889278966,5207.709667836899
313_AgSn,0.0409468929222187,AgSn,1933.495102353183,1504.785014621883
314_Mo3Ta,-0.1259140954870599,TaMo3,2361.399257986704,5106.996289933517
315_CrNa,0.9867061782141312,NaCr,2486.823957613791,2996.283123704824
316_MnW,1.98968045727348,MnW,5757.568171730361,3724.800079504796
317_Fe4W2,0.6376702269705253,Fe2W,5261.516597299767,3203.999593949854
318_Sb3Ge,0.2645231169142601,GeSb3,7468.72488125685,3151.187431494337
319_GaNa3,0.0242168552505561,Na3Ga,3311.955405298417,1203.803992594951
320_AuGa3,-0.044392137011382,Ga3Au,3366.099475763966,1463.520347315357
321_PAs,0.552972441845033,AsP,2919.757751052402,4321.743441417198
