file_name,formula,space_group,value_per_atom
1652_Ta2Ge4,Ta2Ge4,I4_1/amd,0.2489534098761604
1665_Ba3Ta,Ba3Ta,Immm,0.904670441205412
1670_InBr3,InBr3,Immm,-0.5579910152995953
1685_Al5Rh7,Al5Rh7,Fmmm,-0.6383318023359396
1694_Ba4P8,Ba4P8,I4_1/amd,-0.6301452926437984
1695_Al4Ce,Al4Ce,I4/mmm,-0.3227036842435439
1698_Al3Sm,Al3Sm,Pm-3m,-0.5776724548870158
1703_Ba5Ir24,Ba5Ir24,I-43m,0.5284555203006704
1709_Mn5W,Mn5W,F-43m,0.0518166976176933
1714_Ba3Ga,Ba3Ga,Pmm2,-0.0058325030941168
1717_Au4Ga,Au4Ga,I4/mmm,0.0781698024577743
1720_FeIr3,FeIr3,P4/mmm,0.5584776160701406
1725_CrNb,CrNb,Pm-3m,0.0447298304455507
1741_Pt8V,Pt8V,I4/mmm,-0.2749647122994219
1745_Fe2Pd2,Fe2Pd2,Fd-3m,0.0600193354461096
1753_Ir2Pb,Ir2Pb,I4/mmm,0.5983672141707702
1754_Au3Cr,Au3Cr,P4/mmm,0.0798392217555257
1755_V3W,V3W,P4/mmm,-0.0340694370188607
1818_Ba2Pd,Ba2Pd,Fmmm,-0.3628834847793444
1828_Ir4Sn16,Ir4Sn16,I4_1/acd,-0.249447746255101
1830_SnP3,SnP3,Im-3m,0.113431214348977
1836_Mo2W2,Mo2W2,I4_1/amd,0.4529627299555354
1838_SnP,SnP,Fm-3m,-0.0947927665832342
1844_Ni2Pb2,Ni2Pb2,P6_3/mmc,0.0508002978802686
1857_CuMo,CuMo,P-6m2,0.3588543434479447
1859_Ag2Mn,Ag2Mn,I4/mmm,0.2280746253719249
1860_Nb2W4,Nb2W4,Pnnm,0.1061049533559928
1863_Fe4W2,Fe4W2,Cmcm,0.1247923180939961
1871_FeSb,FeSb,P-6m2,0.1270127343936424
1875_Al2Sb4,Al2Sb4,Pnnm,0.0339020113510422
1887_Fe5Pd,Fe5Pd,F-43m,0.2336302647298455
1907_VBr2,VBr2,I4/mmm,-0.410063217628896
1915_K2Sn4,K2Sn4,I4_1/amd,-0.1488476600167298
1920_FePt3,FePt3,P4/mmm,0.0189147301200076
1921_CsYb,CsYb,F-43m,0.6736704833459317
1923_InV,InV,Fm-3m,0.8176152594236008
1925_Cu44Ni2,Cu44Ni2,Fd-3m,0.1180290791446753
1926_BaAs4,BaAs4,I4/m,-0.2218057127435329
1938_Al3Cr,Al3Cr,Pm-3m,-0.1119193373167286
1939_CaCr3,CaCr3,Imm2,1.0513220301705486
1953_Mo16Nb8,Mo16Nb8,Fd-3m,0.3950892874479035
1954_AgP3,AgP3,Pm-3m,0.6993426805573235
1959_Pb5Sb3,Pb5Sb3,Cmmm,0.0442930198409401
1967_Ag2In4,Ag2In4,I4/mcm,-0.0368942050166865
1969_AcAl3,AcAl3,I4/mmm,-0.0241113388268203
1970_FePb3,FePb3,P4/mmm,0.4816714178581449
1971_Ca5Cu3,Ca5Cu3,P4/mmm,-0.0565900669884098
1973_Fe3V,Fe3V,Cmmm,-0.0559529631309843
1974_BaAs,BaAs,P4/mmm,-0.8242741931404591
1976_Ag2Na4,Ag2Na4,Pnnm,0.1008943952187406
1977_Fe4W2,Fe4W2,Cmcm,0.1000496737824505
1978_InNb,InNb,Fm-3m,0.6373364957229786
1984_CuNi5,CuNi5,F-43m,0.1978016568543837
1987_Ag3K,Ag3K,I4/mmm,0.2102714975918522
1990_CrYb,CrYb,F-43m,1.563562392238151
1998_Cu5Pt5,Cu5Pt5,P-1,-0.1249004932685046
2006_CrEu,CrEu,Fm-3m,0.9504176641676194
2010_Cr4Rh8,Cr4Rh8,I4_1/amd,-0.0874482718645239
2013_MoV4,MoV4,I4/mmm,0.5719330538235908
2024_K2Sn4,K2Sn4,I4_1/amd,-0.1484137375559336
2025_Al2Pb4,Al2Pb4,Pnnm,0.2598910134384138
2044_Pd2Ta2,Pd2Ta2,P4/nmm,-0.2980566242829212
2048_Ca4P2,Ca4P2,Pnnm,-0.8955902962299666
2064_Cr3Br2,Cr3Br2,R-3m,0.6807631171727635
2072_Ga2Br2,Ga2Br2,Pmmn,-0.5777253611313591
2073_BaBr2,BaBr2,I4/mmm,-2.124535582082067
2076_K5P3,K5P3,Cmmm,0.0229123948438667
2085_Cr5P24,Cr5P24,I-43m,0.4558804071858427
2094_Al3Sn,Al3Sn,Imm2,0.1655793976137554
2098_Ce20Ir16,Ce20Ir16,Pnma,-0.539478361802414
2102_BaCu3,BaCu3,Pmmm,0.2453032477954502
2108_Ga5Pt24,Ga5Pt24,I-43m,-0.067521268653485
2111_Ag2P,Ag2P,Fm-3m,0.1479457399151679
2113_PAs4,PAs4,Im-3m,0.4778014059865242
2115_Pd8Sb4,Pd8Sb4,Cmc2_1,-0.4630380882032696
2116_Na2Pd,Na2Pd,Fmmm,-0.0417511614547165
2119_WSb,WSb,Pm-3m,0.635789304038278
2128_FePd,FePd,Pm-3m,0.0611011855322729
2130_Cr2Nb6,Cr2Nb6,Pm-3n,0.1085546089350248
2133_FeMn,FeMn,Pm-3m,0.1235497884165575
2135_Sn2W2,Sn2W2,P4/nmm,0.7018631931675055
2140_FePd3,FePd3,Pm-3m,-0.1114107298153808
2144_Al6Cu2,Al6Cu2,Cmcm,-0.0017060816812031
2145_Ag2Ge2,Ag2Ge2,Cmcm,0.1908003162076452
2148_Sn2W2,Sn2W2,P4/nmm,0.7094631933980757
2167_Al2P,Al2P,I4/mmm,0.0140671388629805
2173_Au3P,Au3P,Pmm2,0.2584710753037122
2179_Mn2V,Mn2V,I4/mmm,-0.0706521015275285
2182_Ir3V,Ir3V,I4/mmm,-0.3980924594769846
2184_SnV,SnV,F-43m,1.1915693404471313
2185_Pb3Sb,Pb3Sb,Pmmm,0.0527710928808438
2187_Fe26Pd2,Fe26Pd2,Fm-3c,0.3374554965266674
2191_Ba4In2,Ba4In2,I4/mcm,-0.2699715745953493
2193_AcSb,AcSb,Fm-3m,-1.3729502658314
2195_Ga8Pt16,Ga8Pt16,Fd-3m,-0.3537022999127923
2198_CrNa3,CrNa3,Immm,0.5423186726893348
2249_InYb,InYb,P4/mmm,-0.5505183825863234
2250_SnP4,SnP4,Im-3m,0.9161730438708098
2276_Ag4Al6,Ag4Al6,R-3c,0.2770130587326555
2294_Ba4Cu2,Ba4Cu2,Pnnm,0.0304039929029062
2296_AgAl2,AgAl2,I4/mmm,0.0073829939966311
2308_K2P2,K2P2,I4_1/amd,0.247621916405853
2313_Ac4Bi6,Ac4Bi6,R-3c,-0.3278292763649915
2314_Sn2W,Sn2W,I4/mmm,0.362958406227379
2323_Fe5Sb,Fe5Sb,Cmmm,0.1871788563843329
2324_IrTa2,IrTa2,Immm,-0.3511913424291061
2339_Mn5Sb4,Mn5Sb4,I4/mmm,0.1789847373485137
2340_Ir4Ta4,Ir4Ta4,Pnma,-0.5676369964440191
2342_Cu4Ge2,Cu4Ge2,I4_1/amd,0.2769073934222099
2344_InGe,InGe,P-6m2,0.0678839385461884
2352_Au2Mn2,Au2Mn2,Cmcm,0.1242328596392612
2354_FeMo,FeMo,Fm-3m,0.7999669414053301
2357_K6Ge18,K6Ge18,Pmmn,0.0690931290886987
2359_Ba2V4,Ba2V4,I4/mcm,1.311242249239284
2377_Cu2Ge2,Cu2Ge2,P4/nmm,0.1932333650639117
2387_Ni2Sb,Ni2Sb,I4/mmm,-0.0937071399500493
2396_Ca5P3,Ca5P3,Cmmm,-0.9491693569273068
2398_AgAl2,AgAl2,Immm,0.0748750121599464
2401_Mo4P,Mo4P,Im-3m,0.7103721713880631
2407_Na4Pt2,Na4Pt2,Fd-3m,0.243680765189211
2408_AuGa,AuGa,F-43m,-0.044513398423442
2409_Au2Cu,Au2Cu,P4/mmm,0.0811198566425339
2415_Ir3Ta,Ir3Ta,Pmmm,-0.3949713315041503
2416_Cs3Fe,Cs3Fe,Fm-3m,0.7934928922294131
2421_Ag4Al2,Ag4Al2,Pnnm,0.1584953971325919
2422_Cr2Ta4,Cr2Ta4,Pnnm,0.5251773362111992
2425_NbP2,NbP2,I4/mmm,-0.2707179532971071
2430_Ir17As12,Ir17As12,I-43m,0.3755484315896343
2436_WP,WP,Pm-3m,-0.1643606055072712
2441_AgNa4,AgNa4,I4/m,0.0076326242964114
2442_V3Ge,V3Ge,I4/mmm,-0.1837031005204537
2454_V3Ge,V3Ge,P4/mmm,-0.2244572057801619
2460_Ni5Rh,Ni5Rh,Pmmm,0.0230299346090584
2465_Au10Ga6,Au10Ga6,I4/mcm,-0.0787485331617241
2469_AlCs3,AlCs3,Fm-3m,0.3680687156468609
2483_Fe18As6,Fe18As6,Pmmn,-0.0030855285063147
2489_RbU,RbU,Fm-3m,2.376284508072093
2503_Sn4W2,Sn4W2,I4_1/amd,0.7151859784880076
2504_Cr2As2,Cr2As2,P4/nmm,0.00771246407571
2505_Ag2Mn2,Ag2Mn2,P4/nmm,0.2806231820436764
2507_AuP2,AuP2,I4/mmm,-0.067117053672824
2512_Ag4Mn2,Ag4Mn2,I4/mcm,0.3955711120956877
2514_FePb4,FePb4,I4/mmm,1.191631646347414
2518_P3Br,P3Br,Pm-3m,1.917565214745004
2520_Pd4Sn12,Pd4Sn12,Cmce,-0.3445206529960103
2522_Sb6Ge2,Sb6Ge2,Cmcm,0.1649034019475364
2528_Ag6Al5,Ag6Al5,P-1,-0.0311545684498917
2537_Nb10P6,Nb10P6,I4/mcm,-0.8280427660965373
2544_MnNi,MnNi,F-43m,1.427393408751383
2557_RbSr,RbSr,P-6m2,0.1202435620066513
2564_In2I2,In2I2,Cmcm,-0.5589380872856298
2565_Mo2Sr2,Mo2Sr2,P4/nmm,0.5575013792903318
2569_AuSb,AuSb,F-43m,-0.0210635766241136
2571_Ba3V,Ba3V,P4/mmm,0.5185583514696126
2578_Mo2Ta,Mo2Ta,I4/mmm,-0.1710372885367566
2581_CuGa,CuGa,F-43m,0.4444796102687203
2584_PdRh4,PdRh4,I4/m,0.0594367766285841
2588_RhU,RhU,F-43m,0.4477266393935224
2595_As2Br6,As2Br6,Pm-3n,0.3903767788982994
