file_name,formula,space_group,value_per_atom,most_distinct_OFM
173_Ba2V,Ba2V,I4/mmm,0.6621519240922341,False
174_PbSr7,PbSr7,Fm-3m,-0.030999434316967,False
175_Fe3As,Fe3As,Cmmm,0.0166827533278075,False
176_In3K,In3K,Cmmm,-0.0780771556712189,False
177_Au3Sr,Au3Sr,Pm-3m,0.7382655086643606,False
178_SrW2,SrW2,Fm-3m,3.2276063672278554,False
179_Al2Rh,Al2Rh,P4/mmm,-0.6991817297737448,False
180_Pd2Rh2,Pd2Rh2,P4/nmm,0.0643234389585014,False
181_WSb,WSb,F-43m,1.5974823249986905,False
182_Cu6Ni2,Cu6Ni2,Pm-3n,0.1032142976761845,False
183_AgP3,AgP3,Fm-3m,0.6377887469169732,False
184_W3Sb,W3Sb,Fm-3m,0.6142879079802093,False
185_AgSn,AgSn,P4/mmm,0.0542811791472521,False
186_Ir2Mo6,Ir2Mo6,Cmcm,0.0459888007119957,False
187_Ta2Ge2,Ta2Ge2,P4/nmm,0.1017352688524066,False
188_BiBr,BiBr,P-6m2,-0.3222004881677978,False
189_CaW2,CaW2,I4/mmm,0.6406378987075527,False
190_CrCu,CrCu,Fm-3m,0.99933812170078,False
191_Mo4Nb,Mo4Nb,Im-3m,1.5855713652165122,False
192_Ir3V,Ir3V,P4/mmm,-0.0203825605630481,False
193_Eu8Ge4,Eu8Ge4,Pnma,-0.8865988076880225,False
194_Al12Pb12,Al12Pb12,Pbcm,0.2570537015373606,False
195_Ni6Ge18,Ni6Ge18,Pmmn,0.2198266953462753,False
196_Au8Mn4,Au8Mn4,Pnma,-0.0326742680376834,False
197_Mn10Sn6,Mn10Sn6,I4/mcm,0.2141267769039148,False
198_K8P4,K8P4,Pnma,-0.0861383471739086,False
199_Al2V,Al2V,Fmmm,3.021478292177701,False
200_CsW,CsW,P-6m2,2.392753487086816,False
201_CrPd,CrPd,Fm-3m,0.7786205625391744,False
202_K3Na,K3Na,P4/mmm,0.0175885883206032,False
203_NaPb3,NaPb3,Fm-3m,-0.0546219459481367,False
204_Ni3Sb,Ni3Sb,I4/mmm,-0.1361405822875303,False
205_Ir3Mn4,Ir3Mn4,I4/mmm,0.0216022662820246,False
206_Cr12W18,Cr12W18,P4_2/mnm,0.3346698123646452,False
207_CrRh3,CrRh3,I4/mmm,-0.0699913797349944,False
208_PI,PI,R-3m,0.6765507848780659,False
209_CuI,CuI,P-6m2,0.163268240844149,False
210_Al18Pb6,Al18Pb6,Pmmn,0.208434471028663,False
211_WSb,WSb,P-6m2,0.5521977096633099,False
212_Fe2Ga4,Fe2Ga4,I4/mcm,-0.1746195386096053,False
213_Mn2Sn2,Mn2Sn2,I4_1/amd,0.1906174282030415,False
214_PI,PI,R-3m,0.6761453129882056,False
215_AgAl2,AgAl2,P4/mmm,0.1927638806395458,False
216_Cr5Rh4,Cr5Rh4,I4/mmm,0.043413251064886,False
217_Ge8Br,Ge8Br,I4/mmm,0.2846492762005539,False
218_Ag5Al2,Ag5Al2,I4/mmm,-0.0047721081775178,False
219_Ag4Al2,Ag4Al2,I4_1/amd,0.0373786797866924,False
220_Cr8Rh,Cr8Rh,I4/mmm,0.215390972454407,False
221_Mo7Nb,Mo7Nb,Fm-3m,0.4178278478907451,False
222_BaIr2,BaIr2,Fm-3m,1.7617864823163814,False
223_Pd12Ta18,Pd12Ta18,P4_2/mnm,-0.1882194332244068,False
224_K2As6,K2As6,I4/mmm,0.0183152754736446,False
225_AlPd2,AlPd2,I4/mmm,-0.7917135539533374,False
226_Al4Pb2,Al4Pb2,Pnnm,0.4596315211143362,False
227_Ir2Na4,Ir2Na4,Cmcm,0.2310379275124135,False
228_Ge3P,Ge3P,Pmmm,0.4028421099060848,False
229_Pd2Rh2,Pd2Rh2,P4/nmm,0.0413431690888472,False
230_Cu7Pt5,Cu7Pt5,P1,-0.1185395596556523,False
231_Ba3Ir,Ba3Ir,Pm-3m,0.3315548688782104,False
232_Ta3Ge,Ta3Ge,P4/mmm,-0.1070394710213111,False
233_Ag6Al6,Ag6Al6,Cmm2,-0.0259394001015677,False
234_Ag5In,Ag5In,P4/mmm,0.0038147416913586,False
235_PAs3,PAs3,Fm-3m,0.5081874789383827,False
236_VW2,VW2,Immm,0.4517394004088544,False
238_In4Pb16,In4Pb16,I-43m,0.2226825117026813,False
239_Pb2Sb6,Pb2Sb6,Cmcm,0.156305874512693,False
240_PaBi,PaBi,F-43m,0.5006361656619811,False
241_CrTa,CrTa,F-43m,2.5070367353222007,False
242_Ag7Ta,Ag7Ta,Fm-3m,0.3318113890532039,False
243_FePb3,FePb3,Pm-3m,0.4786018239383995,False
244_Ni4Rh2,Ni4Rh2,Cmmm,0.1668692690605411,False
245_AlRh2,AlRh2,I4/mmm,-0.637019060757113,False
246_WSb,WSb,Pm-3m,0.6402363637939983,False
247_Ba4Ir2,Ba4Ir2,Fd-3m,1.2154619112347849,False
248_Cu5Pt7,Cu5Pt7,P1,-0.1172246329049636,False
249_Ni8Ta16,Ni8Ta16,Fd-3m,-0.0807124775193379,False
251_Ba2Ni2,Ba2Ni2,P6_3mc,0.597629677831121,False
252_AuPt,AuPt,F-43m,1.1568970335132995,False
253_Cu3Ge4,Cu3Ge4,I4/mmm,0.2297082476966535,False
254_NbP2,NbP2,I4/mmm,-0.6493615298102936,False
255_Mo2Pb2,Mo2Pb2,Cmcm,0.5946080176813062,False
256_CuIr,CuIr,F-43m,1.783717347151633,False
257_AcMn,AcMn,P4/mmm,0.4122934724034772,False
258_Cr5Nb,Cr5Nb,F-43m,0.1469112927238486,False
259_K2As2,K2As2,P4/nmm,-0.160004924188351,False
260_CuNi,CuNi,F-43m,1.2524800810011456,False
261_Fe3Na,Fe3Na,Fm-3m,1.127116443806946,False
262_BaBr3,BaBr3,P4/mmm,-1.4692358460725734,False
263_Fe2Pb2,Fe2Pb2,Fd-3m,1.224709304364091,False
264_Cr4P,Cr4P,Im-3m,0.722891464014863,False
265_Pd16Ta14,Pd16Ta14,P4_2/mnm,-0.2155509804832832,False
266_Ag4Al4,Ag4Al4,Cccm,-0.0171242730527843,False
267_CrP7,CrP7,Fm-3m,0.6510238187764203,False
268_FeW2,FeW2,I4/mmm,0.3111246762356288,False
269_SnP3,SnP3,Fm-3m,0.5314056150159168,False
270_FeNa,FeNa,Fm-3m,2.2341407373912583,False
271_PtV2,PtV2,Fmmm,-0.3400272227183064,False
273_Ba3Br,Ba3Br,P4/mmm,-0.6944199402649203,False
274_CsBr,CsBr,F-43m,-1.85028031224608,False
275_V4W4,V4W4,Pnma,0.2378765211926374,False
276_K5Ge,K5Ge,Amm2,0.1171544290501849,False
277_Ba2Cu2,Ba2Cu2,Cmcm,-0.0169725723717149,False
278_Al12Sn4,Al12Sn4,Pnma,0.1373679800708411,False
279_Ba2Cu4,Ba2Cu4,Cmcm,0.1679982061833745,False
280_K3P,K3P,Imm2,0.1089889412197191,False
281_YbBi,YbBi,F-43m,-0.1419430461440991,False
282_V2W,V2W,Immm,0.1508598416056431,False
283_Fe3Pb,Fe3Pb,Pm-3m,0.3868168751662972,False
284_Cu6Pt6,Cu6Pt6,P1,-0.0941277396963631,False
285_MoPb3,MoPb3,Immm,0.5025277881857404,False
286_Ca3P5,Ca3P5,Cmmm,-0.4401060503561709,False
287_Ca12Mo4,Ca12Mo4,Pnma,0.6399058390486374,False
288_As2Br6,As2Br6,I4/mmm,0.3046454324844947,False
289_P5As,P5As,F-43m,0.7837244693717675,False
290_W24P5,W24P5,I-43m,0.4316480836713108,False
291_Fe24Pb5,Fe24Pb5,I-43m,0.554399661464772,False
292_Ga14Pt6,Ga14Pt6,Im-3m,-0.5450134948837502,False
293_Mo4Pb2,Mo4Pb2,Cmcm,0.5902547794711998,False
294_RhU,RhU,P4/mmm,-0.4408425554688815,False
295_Fe2Pb,Fe2Pb,Fm-3m,1.38281204978178,False
296_Ag2Ge2,Ag2Ge2,Pmmn,0.173659045568022,False
297_FePd3,FePd3,Pm-3m,-0.1061349423812592,False
298_PtV3,PtV3,P4/mmm,-0.2900346358635062,False
299_NbW3,NbW3,Cmmm,0.4719516784127222,False
300_Ag2Ca4,Ag2Ca4,I4/mcm,-0.2481122537202737,False
302_CuK,CuK,Pm-3m,0.4781945344055849,False
303_Sb3Ge,Sb3Ge,Immm,0.2660213422478197,False
304_AlCu5,AlCu5,Cmmm,-0.1362652104227132,False
305_Au3Ga,Au3Ga,P4/mmm,-0.0390593413436333,False
