file_name,formula,space_group,value_per_atom,composition,crystal_system
4197_Rh2As6,Rh2As6,Pm-3n,0.2374773535485985,As3Rh,cubic
4198_Al5Fe,Al5Fe,Cmmm,-0.0580412148693868,Al5Fe,orthorhombic
4199_Sm4Sb8,Sm4Sb8,Cmce,-1.2011228798766862,SmSb2,orthorhombic
4200_Sr3Br,Sr3Br,Immm,-0.6682952205881987,Sr3Br,orthorhombic
4201_NpSm,NpSm,Pm-3m,0.2745112966388436,SmNp,cubic
4202_V2Br2,V2Br2,Imma,0.2049389206913092,VBr,orthorhombic
4203_V4As2,V4As2,Cmcm,-0.3354524045812148,V2As,orthorhombic
4204_Ag5Pt5,Ag5Pt5,P1,0.037224391652122,AgPt,triclinic
4205_MnRh3,MnRh3,Pmmm,-0.0543841615570341,MnRh3,orthorhombic
4207_K4Pd2,K4Pd2,Pnnm,0.0843341938906068,K2Pd,orthorhombic
4208_Sb8P4,Sb8P4,Pa-3,0.2323574671258956,Sb2P,cubic
4209_PdGe2,PdGe2,Immm,-0.0960783464424916,Ge2Pd,orthorhombic
4210_Mo2W4,Mo2W4,Cmcm,-0.0028610466844322,MoW2,orthorhombic
4212_Fe16W8,Fe16W8,Fd-3m,0.5076754801286446,Fe2W,cubic
4217_Mo3Nb,Mo3Nb,Immm,-0.0921436769856338,NbMo3,orthorhombic
4219_CeU,CeU,Fm-3m,1.1508078708582277,CeU,cubic
4222_Ag4Na2,Ag4Na2,Pnnm,0.0165116819565905,NaAg2,orthorhombic
4223_K8As8,K8As8,P2_12_12_1,-0.713846988178084,KAs,orthorhombic
4225_CsMn,CsMn,Fm-3m,1.377763715437709,CsMn,cubic
4226_Au2V6,Au2V6,Pm-3n,-0.0374003777432081,V3Au,cubic
4227_Sn3Sb,Sn3Sb,Immm,0.0335006972881908,Sn3Sb,orthorhombic
4228_Mo3Nb,Mo3Nb,Immm,-0.0910283442660997,NbMo3,orthorhombic
4231_AuBa,AuBa,Pm-3m,-0.7055677220240955,BaAu,cubic
4232_Fe2Bi6,Fe2Bi6,P6_3/mmc,0.3530065572768315,FeBi3,hexagonal
4233_Ir2Ni2,Ir2Ni2,Imma,0.1240748108296081,NiIr,orthorhombic
4234_CaW3,CaW3,Fm-3m,0.877911644159294,CaW3,cubic
4235_Ag3Na5,Ag3Na5,Cmmm,-0.0012180582987706,Na5Ag3,orthorhombic
4236_Pd2Sm2,Pd2Sm2,Cmcm,-1.1902433094897784,SmPd,orthorhombic
4238_Mn3Sb,Mn3Sb,Pm-3m,0.1085140340628285,Mn3Sb,cubic
4240_Fe2Nb2,Fe2Nb2,Imma,0.0324283104462974,NbFe,orthorhombic
4241_Au8Rh4,Au8Rh4,Pnma,0.1711982711978444,RhAu2,orthorhombic
4242_PtV5,PtV5,F-43m,-0.0809234845314452,V5Pt,cubic
