file_name,formula,space_group,value_per_atom,structural_complexity
3559_Mo2Pb4,Mo2Pb4,Cm,0.4545479546314854,15.509775004326936
2792_AlNi5,AlNi5,Amm2,-0.2226364434127994,15.509775004326936
1203_BaCu5,BaCu5,Amm2,0.1611099610981305,15.509775004326936
4138_Na4P2,Na4P2,Cmc2_1,-0.2091135756894007,15.509775004326936
4137_Pb5P,Pb5P,Amm2,0.1470081182557236,15.509775004326936
1891_Au5Mn,Au5Mn,Cmmm,-0.0340198901622936,15.509775004326936
1222_K5Ge,K5Ge,Amm2,0.115353885773028,15.509775004326936
18_InSn5,InSn5,Cm,-0.0004405329807042,15.509775004326936
3011_IrTa5,IrTa5,C2/m,-0.2895005288566518,15.509775004326936
1536_Ta5V,Ta5V,Cmmm,0.0288458920268771,15.509775004326936
1452_In3Br3,In3Br3,Cm,-0.617555666652034,15.509775004326936
12_InSn5,InSn5,Cm,0.0003555562973946,15.509775004326936
11_Mo3W3,Mo3W3,C2/m,-0.0006663757429568,15.509775004326936
3019_Ir3Ta3,Ir3Ta3,Cm,-0.4363903598925691,15.509775004326936
4742_Ge5As,Ge5As,Cmmm,0.328977437833131,15.509775004326936
4111_Ba5V,Ba5V,Cm,0.5603798148423765,15.509775004326936
4028_Au5Ni,Au5Ni,Amm2,0.0825313759901096,15.509775004326936
5000_Ga5Sr,Ga5Sr,Cmmm,-0.1824981728377247,15.509775004326936
1521_InBr5,InBr5,Amm2,-0.2827377903090093,15.509775004326936
471_Mo3W3,Mo3W3,Cm,-0.0025435217114875,15.509775004326936
3232_Al5Pt,Al5Pt,Amm2,-0.2573612978127588,15.509775004326936
3053_W5As,W5As,Cmmm,0.2297891868005095,15.509775004326936
4434_BaW5,BaW5,Amm2,0.8998810528593069,15.509775004326936
3818_FeP5,FeP5,Amm2,0.1148882220658234,15.509775004326936
1175_Ba5Pd,Ba5Pd,Amm2,-0.0416080374204114,15.509775004326936
935_BaPd5,BaPd5,Amm2,-0.0742184407992028,15.509775004326936
1426_In4Sn2,In4Sn2,Cm,0.003060684052329,15.509775004326936
1485_BaCu5,BaCu5,Cmmm,0.2562033384073583,15.509775004326936
3078_Al3Sn3,Al3Sn3,Cm,0.125480888915901,15.509775004326936
1181_MoPb5,MoPb5,Amm2,0.463974806041629,15.509775004326936
3417_Ba5Fe,Ba5Fe,Cm,0.4972811038738764,15.509775004326936
794_Sb5Ge,Sb5Ge,Amm2,0.1763970050717992,15.509775004326936
30_In5Br,In5Br,Amm2,-0.1449179659511769,15.509775004326936
703_Pb5As,Pb5As,Cmmm,0.0742787194289308,15.509775004326936
4060_VAs5,VAs5,Amm2,0.1273263648936259,15.509775004326936
944_Sb5Ge,Sb5Ge,Cmmm,0.3160109171990714,15.509775004326936
4633_Au5Sb,Au5Sb,Amm2,0.0592267831128546,15.509775004326936
1095_Cr4Ta6,Cr4Ta6,Fddd,0.2239742892993831,15.21928094887362
2850_Pd6Ge4,Pd6Ge4,Fdd2,-0.3925074452225566,15.21928094887362
3157_Rh6W4,Rh6W4,Fdd2,-0.0594009968145442,15.21928094887362
4734_Fe4Pd6,Fe4Pd6,Fdd2,-0.0234736291717496,15.21928094887362
4056_Ni6As4,Ni6As4,Fdd2,-0.1381767844322986,15.21928094887362
497_Al4Th6,Al4Th6,P4/mbm,-0.2419117160556957,15.21928094887362
2840_Al6Ca4,Al6Ca4,Fdd2,-0.188409806197005,15.21928094887362
2778_Sn6W4,Sn6W4,Fdd2,0.676190720559454,15.21928094887362
1085_Fe4As6,Fe4As6,Fdd2,0.0774651105346301,15.21928094887362
3806_Ag4Pd6,Ag4Pd6,Fdd2,0.0226663836828961,15.21928094887362
4635_Fe6Ta4,Fe6Ta4,Fdd2,-0.0447040189155075,15.21928094887362
4906_Rh6Sb4,Rh6Sb4,Fdd2,-0.0479862950624436,15.21928094887362
3843_Ir4Ta6,Ir4Ta6,Fdd2,-0.344838574125113,15.21928094887362
1596_Ag4Ge6,Ag4Ge6,Fdd2,1.1126645576840708,15.21928094887362
3504_Al4Pt6,Al4Pt6,Fdd2,-0.8428913653579073,15.21928094887362
3829_Ir6W4,Ir6W4,Fdd2,-0.1336017606123633,15.21928094887362
3877_Cu4Pd6,Cu4Pd6,Fdd2,-0.0477099033245785,15.21928094887362
4980_Rh6P4,Rh6P4,Fdd2,-0.4949304186620736,15.21928094887362
706_Ta4V6,Ta4V6,Fdd2,0.1993984094369878,15.21928094887362
3567_P4Br6,P4Br6,Fdd2,0.2069360492629879,15.21928094887362
3097_Ag4Ba6,Ag4Ba6,Fdd2,-0.0507589651294985,15.21928094887362
4923_Rh6W4,Rh6W4,Fdd2,-0.0562816004779008,15.21928094887362
1162_Fe6V4,Fe6V4,Fdd2,-0.0192158893058021,15.21928094887362
1944_Th6Ge4,Th6Ge4,P4/mbm,-0.8316474113878478,15.21928094887362
3622_Al6Pt4,Al6Pt4,Fdd2,-0.7048057370949273,15.21928094887362
4890_Ga4Nb6,Ga4Nb6,Fdd2,-0.1469157667423914,15.21928094887362
2107_K6Ni4,K6Ni4,Fdd2,1.1132662060029634,15.21928094887362
1122_Au4Mn6,Au4Mn6,Fdd2,0.1804851735896761,15.21928094887362
923_Ca4P6,Ca4P6,Fdd2,-0.7364136415173135,15.21928094887362
2935_Fe6Pd4,Fe6Pd4,Fdd2,0.0475907069499314,15.21928094887362
3309_Fe4Pb6,Fe4Pb6,Fdd2,1.1952070005445747,15.21928094887362
2895_Al4Pd6,Al4Pd6,Fdd2,-0.7730897825502033,15.21928094887362
1828_Ir4Sn16,Ir4Sn16,I4_1/acd,-0.249447746255101,14.438561897747244
