formula,n_distinct_space_groups,distinct_space_groups
Ir6Na2,1,['Pmmn']
Ir6Ta18,1,['Pmmn']
Ir6Ta6,1,['Pmma']
Ir6W4,1,['Fdd2']
Ir8Mo22,1,['P4_2/mnm']
Ir8Pd16,1,['Fd-3m']
Ir8Sn,1,['I4/mmm']
IrAs,1,['Fm-3m']
IrAs5,1,['F-43m']
IrBr3,1,['P4/mmm']
IrI,1,['Fm-3m']
IrK,1,['Fm-3m']
IrMn2,1,['I4/mmm']
IrMo,1,['Fm-3m']
IrMo2,1,['Immm']
IrMo3,1,['Cmmm']
IrNb,1,['Fm-3m']
IrNi,1,['Pm-3m']
IrNi2,1,['Immm']
IrP2,1,['Fm-3m']
IrP3,1,['P4/mmm']
IrPb2,1,['I4/mmm']
IrPb3,1,['P4/mmm']
IrPd7,1,['Fm-3m']
IrRh,1,['P4/mmm']
IrRh3,1,['P4/mmm']
IrRh4,1,['I4/m']
IrSm3,1,['I4/mmm']
IrSn,1,['P4/mmm']
IrSn2,1,['I4/mmm']
IrTa,1,['R-3m']
IrTa2,1,['Immm']
IrTa3,1,['Immm']
IrTh,1,['P-6m2']
IrV,1,['P4/mmm']
IrV5,1,['P4/mmm']
IrW4,1,['I4/mmm']
K16Sn8,1,['Fd-3m']
K2As,1,['I4/mmm']
K2As6,1,['I4/mmm']
K2Br4,1,['Pnnm']
K2Ge4,1,['Pnnm']
K2Ge6,1,['Cmcm']
K2Mo,1,['Fmmm']
K2Mo2,1,['Imma']
K2Na,1,['I4/mmm']
K2Na2,1,['I4_1/amd']
K2Na4,1,['Pnnm']
K2Nb,1,['Immm']
K2Nb2,1,['Cmcm']
K2Nb6,1,['Cmcm']
K2Ni2,1,['Imma']
K2P,1,['Immm']
K2Pd,1,['Immm']
K2Pd4,1,['Pnnm']
K2Pd6,1,['Pmmn']
K2Pt,1,['I4/mmm']
K2Pt4,1,['I4/mcm']
K2Sb2,1,['Imma']
K2Sn,1,['I4/mmm']
K2Sn4,1,['I4_1/amd']
K2Sn6,1,['Pm-3n']
K2Sr2,1,['Pmma']
K2Ta,1,['P4/mmm']
K32Ge32,1,['P-43n']
K3As,1,['Fm-3m']
K3P4,1,['I4/mmm']
K3Pd,1,['Immm']
K3Pt,1,['P4/mmm']
K3Sn,1,['Immm']
K3Ta,1,['Cmmm']
K3W,1,['Pm-3m']
K4As2,1,['I4_1/amd']
K4As5,1,['I4/mmm']
K4Ge2,1,['Cmcm']
K4Mo2,1,['Cmcm']
K4Na8,1,['P6_3/mmc']
K4Ni2,1,['Cmcm']
K4P16,1,['I-43m']
K4Pd2,1,['Pnnm']
K4Sn,1,['Im-3m']
K4Sn16,1,['I-43m']
K4Sn2,1,['Pnnm']
K4Sr8,1,['Pnma']
K4Ta2,1,['I4/mcm']
K5As,1,['P4/mmm']
K5Ge,1,['Amm2']
K5Ni,1,['Cmmm']
K5P3,1,['Cmmm']
K5P4,1,['I4/mmm']
K5Sr24,1,['I-43m']
K6Br18,1,['Pmmn']
K6Ge18,1,['Pmmn']
K6Ni4,1,['Fdd2']
K6P2,1,['I4/mmm']
K6Pd2,1,['Cmcm']
K6Rh2,1,['I4/mmm']
K6Sn2,1,['Cmcm']
K8As,1,['I4/mmm']
K8As8,1,['P2_12_12_1']
K8P4,1,['Pnma']
K8Sn4,1,['Pnma']
K8W4,1,['Pa-3']
KAs,1,['P-6m2']
KAs2,1,['I4/mmm']
KAs8,1,['I4/mmm']
KBr,1,['Fm-3m']
KGe,1,['Fm-3m']
KGe2,1,['Immm']
KI,1,['R-3m']
KMn,1,['P-6m2']
KMo3,1,['Pmmm']
KNa2,1,['I4/mmm']
KNb,1,['P-6m2']
KNb3,1,['Immm']
KNi,1,['R-3m']
KNi3,1,['Immm']
KP5,1,['Cmmm']
KPb,1,['P4/mmm']
KPb2,1,['I4/mmm']
KPd3,1,['P4/mmm']
KPd5,1,['Cmmm']
KPt,1,['P4/mmm']
KPt5,1,['P4/mmm']
KRh,1,['P-6m2']
KSb,1,['R-3m']
KSb3,1,['Pmm2']
KSn,1,['P4/mmm']
KSn2,1,['I4/mmm']
KSr5,1,['F-43m']
KV3,1,['Imm2']
KW5,1,['F-43m']
Mn10Sn6,1,['I4/mcm']
Mn12Rh4,1,['Pnma']
Mn12Sb12,1,['Pbcm']
Mn16W4,1,['I-43m']
Mn16W8,1,['Fd-3m']
Mn23Sm6,1,['Fm-3m']
Mn2Ge2,1,['Cmcm']
Mn2Ge6,1,['Cmcm']
Mn2Mo4,1,['I4/mcm']
Mn2Na4,1,['C2/m']
Mn2Nb,1,['I4/mmm']
Mn2Rh,1,['I4/mmm']
Mn2Rh2,1,['P4/nmm']
Mn2Rh4,1,['Cmcm']
Mn2Sb,1,['I4/mmm']
Mn2Sb4,1,['I4_1/amd']
Mn2Sb6,1,['I4/mmm']
Mn2Sn,1,['I4/mmm']
Mn2Sn2,1,['I4_1/amd']
Mn2Sn4,1,['I4/mcm']
Mn2V,1,['I4/mmm']
Mn2V6,1,['I4/mmm']
Mn2W,1,['Fmmm']
Mn2W2,1,['Fd-3m']
Mn2W4,1,['Cmcm']
Mn2W6,1,['Pm-3n']
Mn3Ge,1,['Immm']
Mn3Nb,1,['P4/mmm']
Mn3Ni,1,['Fm-3m']
Mn3Pb,1,['Pm-3m']
Mn3Pd,1,['Pmm2']
Mn3Sr,1,['Pm-3m']
Mn3V,1,['P4/mmm']
Mn3W5,1,['Cmmm']
Mn4Mo5,1,['I4/mmm']
Mn4P2,1,['Pnnm']
Mn4Rh2,1,['Cmcm']
Mn4Sb2,1,['I4_1/amd']
Mn4Sb5,1,['I4/mmm']
Mn4Sb8,1,['Pa-3']
Mn4Sn,1,['I4/m']
Mn4Sn2,1,['P6_3/mmc']
Mn4Ta2,1,['Cmcm']
Mn4Ta3,1,['I4/mmm']
Mn4Ta5,1,['I4/mmm']
Mn4W16,1,['I-43m']
Mn4W2,1,['Cmcm']
Mn5Nb4,1,['I4/mmm']
Mn5Sb,1,['P4/mmm']
Mn5Sb4,1,['I4/mmm']
Mn5V,1,['Amm2']
Mn5W,1,['F-43m']
Mn6Br2,1,['Pmmn']
Mn6P2,1,['Pm-3n']
Mn6Pd2,1,['Cmcm']
Mn6Rh2,1,['Pmmn']
Mn6Sb2,1,['I4/mmm']
Mn6Sn2,1,['I4/mmm']
Mn6Ta10,1,['I4/mcm']
Mn8P16,1,['Fd-3m']
Mn8Sb,1,['I4/mmm']
Mn8Sb4,1,['Pnma']
Mn8W16,1,['Fd-3m']
MnBr2,1,['P-3m1']
MnBr8,1,['I4/mmm']
MnGe3,1,['Immm']
MnMo3,1,['I4/mmm']
MnP,1,['Pm-3m']
MnPt3,1,['P4/mmm']
MnRh,1,['Pm-3m']
MnRh5,1,['Amm2']
MnSb,1,['Fm-3m']
MnSb8,1,['I4/mmm']
MnTa2,1,['Fmmm']
MnV,1,['R-3m']
MnV2,1,['I4/mmm']
MnW5,1,['F-43m']
Mo10Ge6,1,['P6_3/mcm']
Mo10W6,1,['I4/mcm']
Mo12Rh12,1,['Pbcm']
Mo12Ta4,1,['Pnma']
Mo12W4,1,['Pnma']
Mo16Nb8,1,['Fd-3m']
Mo16V4,1,['I-43m']
Mo17Pd12,1,['I-43m']
Mo18Sr6,1,['Pmmn']
Mo18V6,1,['Pmmn']
Mo26Nb2,1,['Fm-3c']
Mo2As,1,['Fmmm']
Mo2Na,1,['I4/mmm']
Mo2Na2,1,['P4/nmm']
Mo2Nb6,1,['Pm-3n']
Mo2Ni6,1,['Pmmn']
Mo2P2,1,['I4_1/amd']
Mo2P4,1,['I4/mcm']
Mo2P6,1,['Pm-3n']
Mo2Pd,1,['Fm-3m']
Mo2Pd26,1,['Fm-3c']
Mo2Rh6,1,['I4/mmm']
Mo2Sn,1,['I4/mmm']
Mo2Sr,1,['I4/mmm']
Mo2Sr4,1,['I4/mcm']
Mo2Ta,1,['I4/mmm']
Mo2Ta2,1,['Cmcm']
Mo2V2,1,['Cmme']
Mo2V6,1,['Cmcm']
Mo2W,1,['I4/mmm']
Mo2W6,1,['I4/mmm']
Mo3Nb13,1,['Amm2']
Mo3Pb,1,['Immm']
Mo3Rh,1,['I4/mmm']
Mo3Sn,1,['P4/mmm']
Mo3Sr,1,['Cmmm']
Mo3Ta,1,['P4/mmm']
Mo4Ge8,1,['Pnma']
Mo4Nb,1,['Im-3m']
Mo4Nb12,1,['Pnma']
Mo4Nb2,1,['I4_1/amd']
Mo4Nb4,1,['P2_13']
Mo4P,1,['Im-3m']
Mo4P4,1,['P2_13']
Mo4Pb2,1,['Cmcm']
Mo4Pb4,1,['Pnma']
Mo4Pb8,1,['Pnma']
Mo4Rh2,1,['Pnnm']
Mo4Rh8,1,['I4_1/amd']
Mo4Ta2,1,['Pnnm']
Mo4V8,1,['Pnma']
Mo4W16,1,['I-43m']
Mo4W2,1,['C2/m']
Mo4W4,1,['Pnma']
Mo5P24,1,['I-43m']
Mo6Rh18,1,['Pmmn']
Mo6Rh2,1,['I4/mmm']
Mo6V2,1,['Cmcm']
Mo6W18,1,['Pmmn']
Mo6W2,1,['Cmcm']
Mo7Nb,1,['Fm-3m']
Mo7P,1,['Fm-3m']
Mo8Nb16,1,['Fd-3m']
Mo8Ni4,1,['Pa-3']
Mo8V16,1,['Fd-3m']
Mo8W,1,['I4/mmm']
MoBr,1,['Cmmm']
MoNb,1,['Pm-3m']
MoNb3,1,['Pm-3m']
MoNb5,1,['Cmmm']
MoNi3,1,['Pm-3m']
MoNp,1,['P-6m2']
MoP5,1,['P4/mmm']
MoPb3,1,['Immm']
MoPb5,1,['Amm2']
MoPd,1,['P4/mmm']
MoPd4,1,['Im-3m']
MoRh,1,['P4/mmm']
MoSm,1,['R-3m']
MoSn,1,['P-6m2']
MoSn2,1,['I4/mmm']
MoSn4,1,['Im-3m']
MoSr,1,['P4/mmm']
MoSr2,1,['I4/mmm']
MoTa2,1,['I4/mmm']
MoTa3,1,['Immm']
MoV,1,['Pm-3m']
MoV3,1,['Fm-3m']
MoV4,1,['I4/mmm']
MoYb,1,['P4/mmm']
Na12P4,1,['Pnma']
Na2P,1,['I4/mmm']
Na2Pb,1,['Immm']
Na2Pd2,1,['Imma']
Na2Pd4,1,['Cmcm']
Na2Pd6,1,['I4/mmm']
Na2Sb2,1,['P4/nmm']
Na2Sn,1,['I4/mmm']
Na2Sn2,1,['Pmma']
Na2Sr2,1,['Fd-3m']
Na3Ge,1,['Pmmm']
Na3Pb,1,['Pm-3m']
Na3Pt,1,['I4/mmm']
Na3Sn,1,['Pm-3m']
Na3V,1,['Pmm2']
Na4P,1,['I4/mmm']
Na4P20,1,['Pnma']
Na4Pb,1,['Im-3m']
Na4Pd,1,['I4/m']
Na4Pd2,1,['Cmcm']
Na4Pt4,1,['P2_13']
Na4Pt5,1,['I4/mmm']
Na4Rh16,1,['I23']
Na4Sr,1,['Im-3m']
Na5Pb,1,['Cmmm']
Na5Pd,1,['P4/mmm']
Na5Pt4,1,['I4/mmm']
Na6Pb2,1,['Pm-3n']
Na6Pd2,1,['I4/mmm']
Na7Pt,1,['Fm-3m']
Na8Pd4,1,['Pnma']
NaBr3,1,['Cmmm']
NaBr5,1,['Cmmm']
NaI,1,['F-43m']
NaNi,1,['P-6m2']
NaPb3,1,['Fm-3m']
NaPb4,1,['Im-3m']
NaPd2,1,['Immm']
NaPd3,1,['Cmmm']
NaPd4,1,['I4/m']
NaPt4,1,['Im-3m']
NaPt5,1,['Cmmm']
NaRh,1,['Pm-3m']
NaSb3,1,['Immm']
NaTa,1,['P4/mmm']
Nb10Ni6,1,['I4/mcm']
Nb10P6,1,['I4/mcm']
Nb24As8,1,['P4_2/n']
Nb2Ni4,1,['I4_1/amd']
Nb2P,1,['I4/mmm']
Nb2P2,1,['P4/nmm']
Nb2P4,1,['I4/mcm']
Nb2Pb,1,['Fmmm']
Nb2Pb2,1,['Cmcm']
Nb2Pt2,1,['Pmma']
Nb2Rh4,1,['I4_1/amd']
Nb2Sr2,1,['Cmcm']
Nb2V,1,['I4/mmm']
Nb2V2,1,['P4/nmm']
Nb2V6,1,['I4/mmm']
Nb2W2,1,['Cmcm']
Nb2W4,1,['Pnnm']
Nb2W6,1,['Pmmn']
Nb3Bi,1,['Fm-3m']
Nb3Br,1,['Pmm2']
Nb3Br5,1,['Cmmm']
Nb3Ni,1,['Fm-3m']
Nb3P,1,['P4/mmm']
Nb3P4,1,['I4/mmm']
Nb3Pb,1,['Pm-3m']
Nb3Sn,1,['Pm-3m']
Nb3V,1,['I4/mmm']
Nb3V4,1,['I4/mmm']
Nb4As5,1,['I4/mmm']
Nb4Br,1,['I4/mmm']
Nb4I16,1,['Cmc2_1']
Nb4Ni,1,['Im-3m']
Nb4Ni2,1,['I4/mcm']
Nb4Pb2,1,['Cmcm']
Nb4Pb4,1,['Pnma']
Nb4Sn,1,['Im-3m']
Nb4Sn8,1,['Fddd']
Nb4Sr16,1,['I-43m']
Nb4Sr2,1,['Cm']
Nb4V,1,['I4/mmm']
Nb4V8,1,['I4_1/amd']
Nb4W4,1,['Pnma']
Nb4W8,1,['Pnma']
Nb5Br3,1,['Cmmm']
Nb5W4,1,['I4/mmm']
Nb6Br4,1,['R-3c']
Nb6Rh2,1,['I4/mmm']
Nb6V10,1,['I4/mcm']
Nb8Br40,1,['Pnma']
Nb8Ni,1,['I4/mmm']
Nb8P,1,['I4/mmm']
NbAs3,1,['P4/mmm']
NbBi3,1,['Pm-3m']
NbI,1,['F-43m']
NbNi,1,['P4/mmm']
NbNi2,1,['I4/mmm']
NbP2,1,['I4/mmm']
NbP3,1,['P4/mmm']
NbPb3,1,['Cmmm']
NbPd2,1,['P4/mmm']
NbPd3,1,['I4/mmm']
NbPt2,1,['Immm']
NbRh3,1,['I4/mmm']
NbSb3,1,['Pmm2']
NbSr3,1,['Immm']
NbU,1,['P4/mmm']
NbV2,1,['I4/mmm']
NbV5,1,['P4/mmm']
Ni10Ge6,1,['C2']
Ni12Sr4,1,['Pnma']
Ni17Br12,1,['I-43m']
Ni24Ta5,1,['I-43m']
Ni2As2,1,['P4/nmm']
Ni2As6,1,['I4/mmm']
Ni2Br6,1,['Pm-3n']
Ni2Ge2,1,['Cmcm']
Ni2Ge6,1,['Pmmn']
Ni2Np2,1,['Pmma']
Ni2P6,1,['I4/mmm']
Ni2Pd,1,['I4/mmm']
Ni2Pt6,1,['P6_3/mmc']
Ni2Rh2,1,['Cmme']
Ni2Sb2,1,['P4/nmm']
Ni2Sn,1,['I4/mmm']
Ni2Sn4,1,['I4_1/amd']
Ni2Sr4,1,['I4/mcm']
Ni2Ta4,1,['Fd-3m']
Ni2Ta6,1,['Pm-3n']
Ni2V,1,['Immm']
Ni2V2,1,['Pmma']
Ni2V4,1,['Cmcm']
Ni2Yb2,1,['Pmma']
Ni3Np,1,['Pm-3m']
Ni3Rh3,1,['Cm']
Ni3Sm,1,['Pm-3m']
Ni3Sr,1,['Cmmm']
Ni3Ta,1,['Fm-3m']
Ni3V,1,['I4/mmm']
Ni3Yb,1,['I4/mmm']
Ni4Ge2,1,['Pnnm']
Ni4Ge4,1,['Pnma']
Ni4Ge5,1,['I4/mmm']
Ni4Pd8,1,['I4_1/amd']
Ni4Rh8,1,['Pnma']
Ni4Sb2,1,['I4_1/amd']
Ni4Sb3,1,['I4/mmm']
Ni4Sr,1,['I4/m']
Ni4Ta,1,['Im-3m']
Ni4Ta16,1,['I-43m']
Ni4Ta4,1,['P2_13']
Ni4Ta6,1,['R-3c']
Ni4Ta8,1,['Pa-3']
Ni4U6,1,['R-3c']
Ni5P,1,['P4/mmm']
Ni5Rh,1,['Pmmm']
Ni5Sb4,1,['I4/mmm']
Ni5Ta,1,['F-43m']
Ni5U,1,['F-43m']
Ni6As4,1,['Fdd2']
Ni6Ge18,1,['Pmmn']
Ni6P2,1,['I4/mmm']
Ni8Ge4,1,['Pnma']
Ni8Pt4,1,['Pnma']
Ni8Ta16,1,['Fd-3m']
NiAs,1,['Fm-3m']
NiBi3,1,['Fm-3m']
NiGe4,1,['I4/mmm']
NiGe5,1,['P4/mmm']
NiP,1,['P-6m2']
NiP3,1,['I4/mmm']
NiP4,1,['I4/mmm']
NiPa,1,['P-6m2']
NiPb3,1,['Pm-3m']
NiPd3,1,['Pm-3m']
NiPt3,1,['Pm-3m']
NiRh5,1,['Pmmm']
NiSb,1,['R-3m']
NiSb2,1,['I4/mmm']
NiSb3,1,['I4/mmm']
NiSn,1,['P-6m2']
NiSn2,1,['I4/mmm']
NiSr,1,['Pm-3m']
NiTa,1,['P-6m2']
NiTa2,1,['Fm-3m']
NiTa4,1,['Im-3m']
NiTa5,1,['F-43m']
NiTa7,1,['Fm-3m']
NiV,1,['P4/mmm']
NiW,1,['P-6m2']
NpPa,1,['P4/mmm']
NpPa3,1,['Pm-3m']
NpPb,1,['F-43m']
NpRh,1,['R-3m']
NpSb,1,['Fm-3m']
NpSm,1,['Pm-3m']
NpSn,1,['P4/mmm']
NpTa,1,['P4/mmm']
NpU,1,['P4/mmm']
P12As17,1,['I-43m']
P12Br12,1,['Pbcm']
P12Br17,1,['I-43m']
P16As8,1,['Fd-3m']
P16Br4,1,['I23']
P17Br12,1,['I-43m']
P24As5,1,['I-43m']
P2As2,1,['Fd-3m']
P2As4,1,['Cmcm']
P2As6,1,['Cmcm']
P2Br2,1,['Pmmn']
P2Br4,1,['Cmcm']
P2Br6,1,['Pm-3n']
P4As,1,['Im-3m']
P4As8,1,['Pa-3']
P4Br16,1,['I-43m']
P4Br2,1,['Cmcm']
P4Br6,1,['Fdd2']
P4Br8,1,['Pa-3']
P5As,1,['F-43m']
P7As,1,['Fm-3m']
P8Br16,1,['Fd-3m']
PAs,1,['Pm-3m']
PAs4,1,['Im-3m']
PAs5,1,['F-43m']
PBr,1,['P-6m2']
PBr3,1,['Fm-3m']
PBr4,1,['Im-3m']
PI,1,['R-3m']
PI3,1,['Pm-3m']
Pa3Bi,1,['Pm-3m']
PaBi,1,['F-43m']
PaGe,1,['F-43m']
PaGe3,1,['Fm-3m']
PaP,1,['Pm-3m']
PaPb,1,['P4/mmm']
PaRh,1,['P4/mmm']
PaSb3,1,['Pm-3m']
PaSn,1,['P4/mmm']
PaSr,1,['R-3m']
Pb16Sr4,1,['I-43m']
Pb16V8,1,['Fd-3m']
Pb24Sr5,1,['I-43m']
Pb24V5,1,['I-43m']
Pb2As2,1,['Imma']
Pb2As6,1,['Pmmn']
Pb2P,1,['I4/mmm']
Pb2P2,1,['P4/nmm']
Pb2P4,1,['I4/mcm']
Pb2P6,1,['Pmmn']
Pb2Sb2,1,['Imma']
Pb2Sb6,1,['Cmcm']
Pb2Sr,1,['P4/mmm']
Pb2Sr4,1,['Fd-3m']
Pb2Ta2,1,['P4/nmm']
Pb2Ta4,1,['I4/mcm']
Pb2V,1,['Fm-3m']
Pb3Sb,1,['Pmmm']
Pb3Ta,1,['I4/mmm']
Pb4As16,1,['I23']
Pb4As2,1,['Pnnm']
Pb4As3,1,['I4/mmm']
Pb4As4,1,['Pnma']
Pb4I8,1,['R-3m']
Pb4P,1,['I4/mmm']
Pb4P2,1,['Cmcm']
Pb4Sb2,1,['I4/mcm']
Pb4Ta2,1,['I4/mcm']
Pb4V,1,['Im-3m']
Pb5As,1,['Cmmm']
Pb5P,1,['Amm2']
Pb5Sb3,1,['Cmmm']
Pb5Sr24,1,['I-43m']
Pb6As18,1,['Pmmn']
Pb6P2,1,['I4/mmm']
Pb6Sb18,1,['Pmmn']
Pb6V2,1,['Pmmn']
Pb7I14,1,['P3m1']
Pb8As4,1,['Pa-3']
Pb8Sb4,1,['Pnma']
PbGe2,1,['I4/mmm']
PbGe3,1,['Fm-3m']
PbGe5,1,['P4/mmm']
PbI2,1,['P-3m1']
PbPt3,1,['Pm-3m']
PbSm,1,['R-3m']
PbSr3,1,['I4/mmm']
PbSr7,1,['Fm-3m']
PbV,1,['F-43m']
PbV3,1,['Fm-3m']
PbV4,1,['Im-3m']
PbYb,1,['P4/mmm']
Pd12Sb4,1,['Pnma']
Pd12Ta18,1,['P4_2/mnm']
Pd16Sb4,1,['I-43m']
Pd16Ta14,1,['P4_2/mnm']
Pd18As6,1,['Pmmn']
Pd20Ta10,1,['P4_2/mnm']
Pd2As4,1,['Cmcm']
Pd2Br,1,['Fmmm']
Pd2Ge4,1,['Imma']
Pd2P,1,['I4/mmm']
Pd2P2,1,['Cmme']
Pd2Rb,1,['I4/mmm']
Pd2Rb2,1,['P4/nmm']
Pd2Rb4,1,['I4/mcm']
Pd2Sb,1,['I4/mmm']
Pd2Sb4,1,['Cmcm']
Pd2Sm2,1,['Cmcm']
Pd2Sn,1,['Immm']
Pd2Sn2,1,['Pmma']
Pd2Sn8,1,['Ccce']
Pd2Ta2,1,['P4/nmm']
Pd2V,1,['Immm']
Pd2V4,1,['Pnnm']
Pd2W4,1,['I4/mcm']
Pd3As,1,['Immm']
Pd3P,1,['P4/mmm']
Pd3Rb,1,['P4/mmm']
Pd3V,1,['Pmmm']
Pd4Ge2,1,['Imma']
Pd4Pt4,1,['Imma']
Pd4Rh,1,['I4/m']
Pd4Rh5,1,['I4/mmm']
Pd4Sb2,1,['I4/mcm']
Pd4Sn12,1,['Cmce']
Pd4Sn4,1,['Pnma']
Pd4Ta2,1,['I4/mcm']
Pd4Ta26,1,['P4_2/mnm']
Pd4V4,1,['Pnma']
Pd4W2,1,['I4/mcm']
Pd5Rb,1,['P4/mmm']
Pd5Rb4,1,['I4/mmm']
Pd5Sn,1,['P4/mmm']
Pd5Sr,1,['P6/mmm']
Pd6Ge4,1,['Fdd2']
Pd6I4,1,['R-3c']
Pd6P2,1,['Cmcm']
Pd6Rh10,1,['I4/mcm']
Pd6Sr2,1,['Cmcm']
Pd6V18,1,['Pmmn']
Pd8Sb4,1,['Cmc2_1']
Pd8Sn16,1,['I4_1/acd']
Pd8Ta22,1,['P4_2/mnm']
Pd8V4,1,['Pnma']
PdAs,1,['Cmmm']
PdBi,1,['Pm-3m']
PdBr,1,['Fm-3m']
PdGe2,1,['Immm']
PdP2,1,['I4/mmm']
PdP3,1,['Cmmm']
PdP8,1,['I4/mmm']
PdPt3,1,['Immm']
PdRb2,1,['P4/mmm']
PdSb3,1,['P4/mmm']
PdSn2,1,['I4/mmm']
PdSn3,1,['Cmmm']
PdSr,1,['R-3m']
PdTa,1,['P4/mmm']
PdTa2,1,['I4/mmm']
PdTa4,1,['I4/mmm']
PdU,1,['P-6m2']
PdV3,1,['Cmmm']
PdW,1,['P4/mmm']
PdW2,1,['Fmmm']
PdW3,1,['Cmmm']
PdYb,1,['P-6m2']
Pt10Sn6,1,['I4/mcm']
Pt16Rb8,1,['Fd-3m']
Pt24Ge16,1,['Pnma']
Pt24W5,1,['I-43m']
Pt2As2,1,['P4/nmm']
Pt2As4,1,['Pnnm']
Pt2Br4,1,['Cmcm']
Pt2P2,1,['Imma']
Pt2Rh,1,['Fm-3m']
Pt2Rh2,1,['I4_1/amd']
Pt2Sb,1,['I4/mmm']
Pt2Th2,1,['Cmcm']
Pt2V,1,['Immm']
Pt2V4,1,['Cmcm']
Pt2W2,1,['Fd-3m']
Pt3As,1,['P4/mmm']
Pt3Bi,1,['I4/mmm']
Pt3Rh,1,['P4/mmm']
Pt3Sb,1,['P4/mmm']
Pt3V5,1,['Cmmm']
Pt4As8,1,['Pa-3']
Pt4Rb16,1,['I-43m']
Pt4Rh8,1,['Pa-3']
Pt4Sr2,1,['Cmcm']
Pt4V12,1,['Pnma']
Pt4V2,1,['Cmcm']
Pt4V8,1,['Pnma']
Pt5V,1,['F-43m']
Pt6Br4,1,['R-3c']
Pt6Sn2,1,['I4/mmm']
Pt6V2,1,['Pm-3n']
Pt7Sb,1,['Fm-3m']
Pt8Sn4,1,['I4_1/amd']
Pt8Sr16,1,['Fd-3m']
Pt8V,1,['I4/mmm']
PtBi,1,['Fm-3m']
PtBi3,1,['Pm-3m']
PtBr5,1,['Amm2']
PtGe,1,['Fm-3m']
PtGe3,1,['Cmmm']
PtP3,1,['Pmmm']
PtRb3,1,['Pm-3m']
PtRb5,1,['F-43m']
PtRh,1,['R-3m']
PtRh3,1,['P4/mmm']
PtRh7,1,['Fm-3m']
PtSb,1,['P4/mmm']
PtSb3,1,['P4/mmm']
PtSr,1,['Fm-3m']
PtV,1,['F-43m']
PtV2,1,['Fmmm']
PtV5,1,['F-43m']
PtW,1,['Pm-3m']
PtW2,1,['Fmmm']
PtW3,1,['Fm-3m']
Rb2Sb4,1,['C2/m']
RbBi,1,['F-43m']
RbI,1,['R-3m']
RbRh,1,['P-6m2']
RbSm,1,['F-43m']
RbSn,1,['P-6m2']
RbSr,1,['P-6m2']
RbTh,1,['P-6m2']
RbV,1,['P-6m2']
Rh2As,1,['Fm-3m']
Rh2As4,1,['Cmcm']
Rh2As6,1,['Pm-3n']
Rh2Sb2,1,['Cmme']
Rh2Sb4,1,['Fd-3m']
Rh2Sr2,1,['P4/nmm']
Rh2Ta4,1,['I4/mcm']
Rh3Ge,1,['Fm-3m']
Rh3P,1,['Pm-3m']
Rh3Sr,1,['P4/mmm']
Rh4As12,1,['Im-3']
Rh4Ge2,1,['Cmcm']
Rh4Sm2,1,['Fd-3m']
Rh4Sr2,1,['Cmcm']
Rh5As,1,['F-43m']
Rh5W3,1,['Cmmm']
Rh6P4,1,['Fdd2']
Rh6Sb2,1,['Cmcm']
Rh6Sb4,1,['Fdd2']
Rh6W2,1,['P6_3/mmc']
Rh6W4,1,['Fdd2']
RhBi,1,['P-6m2']
RhGe2,1,['Fm-3m']
RhGe3,1,['Imm2']
RhSr,1,['F-43m']
RhSr2,1,['I4/mmm']
RhSr8,1,['I4/mmm']
RhTa,1,['F-43m']
RhTh,1,['P4/mmm']
RhW3,1,['Imm2']
RhW4,1,['I4/mmm']
Sb2As4,1,['Pnnm']
Sb2Br,1,['I4/mmm']
Sb2P,1,['I4/mmm']
Sb3Ge5,1,['Cmmm']
Sb4Br12,1,['Pnma']
Sb8P4,1,['Pa-3']
SbGe2,1,['I4/mmm']
SbI,1,['Fm-3m']
SbP2,1,['I4/mmm']
Sm3W,1,['I4/mmm']
Sm4Sb8,1,['Cmce']
SmBi,1,['P-6m2']
SmGe5,1,['Immm']
SmI3,1,['Pm-3m']
SmP,1,['F-43m']
SmSr,1,['P-6m2']
SmTa,1,['P-6m2']
SmTh,1,['P4/mmm']
SmYb,1,['P-6m2']
SmYb3,1,['Pm-3m']
Sn12Sb17,1,['I-43m']
Sn17P12,1,['I-43m']
Sn18W6,1,['Pmmn']
Sn2Br4,1,['Fd-3m']
Sn2Ta,1,['I4/mmm']
Sn2Ta6,1,['Pm-3n']
Sn3As,1,['Pm-3m']
Sn3Br,1,['P4/mmm']
Sn3Sb,1,['Immm']
Sn3V,1,['Cmmm']
Sn4Br4,1,['P2_13']
Sn4Br8,1,['Pa-3']
Sn4P,1,['Im-3m']
Sn4W,1,['I4/m']
Sn4W8,1,['Pnma']
Sn5W,1,['Amm2']
Sn6Sb2,1,['Pm-3n']
Sn6W10,1,['I4/mcm']
Sn6W2,1,['Pmmn']
Sn6W4,1,['Fdd2']
Sn8I32,1,['Pa-3']
Sn8W4,1,['I4_1/amd']
SnBr3,1,['Fm-3m']
SnBr4,1,['Im-3m']
SnGe4,1,['Im-3m']
SnP4,1,['Im-3m']
SnSb3,1,['Fm-3m']
SnTa,1,['F-43m']
SnTa3,1,['P4/mmm']
SnTh,1,['P-6m2']
SnV,1,['F-43m']
SnW2,1,['I4/mmm']
SnW4,1,['I4/mmm']
SnYb3,1,['Pm-3m']
Sr16W4,1,['I-43m']
Sr2As,1,['I4/mmm']
Sr2As4,1,['Pnnm']
Sr2Br,1,['Fmmm']
