formula,n_distinct_space_groups,distinct_space_groups
K2As2,2,"['Imma', 'P4/nmm']"
K2Ge2,2,"['Cmcm', 'Imma']"
K2P2,2,"['Cmcm', 'I4_1/amd']"
K2Sn2,2,"['Cmcm', 'Pmmn']"
K3Na,2,"['I4/mmm', 'P4/mmm']"
K3V,2,"['Imm2', 'Pmm2']"
KAs3,2,"['I4/mmm', 'P4/mmm']"
KP,2,"['F-43m', 'P4/mmm']"
KP2,2,"['Fm-3m', 'Fmmm']"
KSn3,2,"['P4/mmm', 'Pm-3m']"
KTa2,2,"['Fmmm', 'I4/mmm']"
Mn2Ta4,2,"['I4/mcm', 'Pnnm']"
Mn3Rh,2,"['P4/mmm', 'Pmmm']"
Mn3Sn,2,"['I4/mmm', 'P4/mmm']"
Mn3Ta,2,"['Immm', 'P4/mmm']"
Mn3W,2,"['Fm-3m', 'Pm-3m']"
Mn6W2,2,"['Pm-3n', 'Pmmn']"
MnNb,2,"['F-43m', 'Fm-3m']"
MnNi,2,"['F-43m', 'P-6m2']"
MnRh3,2,"['P4/mmm', 'Pmmm']"
MnSb2,2,"['I4/mmm', 'Immm']"
MnW3,2,"['Pm-3m', 'Pmmm']"
Mo2Nb,2,"['Fmmm', 'I4/mmm']"
Mo2P,2,"['Fm-3m', 'I4/mmm']"
Mo2Pb2,2,"['Cmcm', 'Cmme']"
Mo2Pb4,2,"['Cm', 'Cmcm']"
Mo2Sr2,2,"['Imma', 'P4/nmm']"
Mo3Nb,2,"['Immm', 'Pm-3m']"
Mo3P,2,"['Fm-3m', 'P4/mmm']"
Mo3V,2,"['Immm', 'Pm-3m']"
Mo3W3,2,"['C2/m', 'Cm']"
