formula,space_group,structure,id,formation_energy
Cu4K8,Pa-3,"[{'data': {'a': [8.178752400000001e-10, 0, 0], 'b': [0, 8.178752400000001e-10, 0], 'c': [0, 0, 8.178752400000001e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Cu'}, {'x': 4.0893762000000003e-10, 'y': 4.0893762000000003e-10, 'z': 0, 'element': 'Cu'}, {'x': 4.0893762000000003e-10, 'y': 0, 'z': 4.0893762000000003e-10, 'element': 'Cu'}, {'x': 0, 'y': 4.0893762000000003e-10, 'z': 4.0893762000000003e-10, 'element': 'Cu'}, {'x': 5.368988141143536e-10, 'y': 5.368988141143536e-10, 'z': 2.809764258856464e-10, 'element': 'K'}, {'x': 2.809764258856464e-10, 'y': 2.809764258856464e-10, 'z': 5.368988141143536e-10, 'element': 'K'}, {'x': 1.279611941143536e-10, 'y': 6.899140458856464e-10, 'z': 5.368988141143536e-10, 'element': 'K'}, {'x': 6.899140458856464e-10, 'y': 1.279611941143536e-10, 'z': 2.809764258856464e-10, 'element': 'K'}, {'x': 2.809764258856464e-10, 'y': 1.279611941143536e-10, 'z': 1.279611941143536e-10, 'element': 'K'}, {'x': 5.368988141143536e-10, 'y': 6.899140458856464e-10, 'z': 6.899140458856464e-10, 'element': 'K'}, {'x': 6.899140458856464e-10, 'y': 2.809764258856464e-10, 'z': 6.899140458856464e-10, 'element': 'K'}, {'x': 1.279611941143536e-10, 'y': 5.368988141143536e-10, 'z': 1.279611941143536e-10, 'element': 'K'}]}, 'natoms': 12, 'element': {'Cu': 4, 'K': 8}}]",PN_MWAG4ZI6CIVLSAA6ADGN6V2ZKGQSUD2D,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S', 'K': 'https://nomad-lab.eu/prod/rae/gui/entry/id/LNJYtPiDTJ2RgcndgMzMEQ/-0vh5pzaGjLtxl6QcMcZHMEL5lI1'}, 'value_per_atom': 0.3554414266929508, 'value': 4.2652971203154095}"
AgSn3,P4/mmm,"[{'data': {'a': [2.41542434e-10, -2.4164962e-10, 0], 'b': [2.41542434e-10, 2.4164962e-10, 0], 'c': [0, 0, 8.597923270000001e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Ag'}, {'x': 2.41542434e-10, 'y': 0, 'z': 6.6887091828201e-10, 'element': 'Sn'}, {'x': 0, 'y': 0, 'z': 4.2989616350000005e-10, 'element': 'Sn'}, {'x': 2.41542434e-10, 'y': 0, 'z': 1.9092140871799004e-10, 'element': 'Sn'}]}, 'natoms': 4, 'element': {'Ag': 1, 'Sn': 3}}]",PN_N45X6KUZIVOYCMNHUXADGSYDW63DPWEN,"{'reference': {'Ag': 'https://nomad-lab.eu/prod/rae/gui/entry/id/fnHejGdhTuiWS0VNpjH8pA/S0g-iXGYSO3a4JeEbuX_IWUqOBUr', 'Sn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7v_xfwA8SXar--QHXNyP3w/OAw0poj5HN3ZrB-djDMlDbA7-aNL'}, 'value_per_atom': 0.0032199082417800895, 'value': 0.012879632967120358}"
Nb2Ni4,I4_1/amd,"[{'data': {'a': [0, 3.2413792e-10, 0], 'b': [1.6206896e-10, -1.6206896e-10, 8.10095844e-10], 'c': [3.2413792e-10, 0, 0], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Nb'}, {'x': 3.2413792e-10, 'y': 1.6206896000000004e-10, 'z': 4.05047922e-10, 'element': 'Nb'}, {'x': 1.6206896e-10, 'y': 2.5985211380815927e-27, 'z': 2.857535158489807e-10, 'element': 'Ni'}, {'x': 1.6206896e-10, 'y': 1.3295413846067887e-27, 'z': 5.243423281510193e-10, 'element': 'Ni'}, {'x': 3.2413792e-10, 'y': -1.3295413846067887e-27, 'z': 6.908014378489807e-10, 'element': 'Ni'}, {'x': 1.6206896e-10, 'y': 1.6206896e-10, 'z': 1.1929440615101928e-10, 'element': 'Ni'}]}, 'natoms': 6, 'element': {'Nb': 2, 'Ni': 4}}]",PN_2SZAGIBCTUKG2XQJTUZG4GVHLM44LQBU,"{'reference': {'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/FsjvRjUORt2wbpq8ej5bOA/861X4hlRjiSg-bvBzuNmZtnnHOYr', 'Ni': 'https://nomad-lab.eu/prod/rae/gui/entry/id/q7lAKuoOTPWL1mJ5gkMDhg/2z6qKgNMlPjxK4R1fKqhhgll26lp'}, 'value_per_atom': 0.033300587383128764, 'value': 0.19980352429877257}"
CuBr3,Pmm2,"[{'data': {'a': [4.11340911e-10, 0, 0], 'b': [0, 7.31134626e-10, 0], 'c': [0, 0, 4.0456413e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 3.896477979335631e-10, 'element': 'Br'}, {'x': 2.056704555e-10, 'y': 0, 'z': 1.877653816093836e-10, 'element': 'Br'}, {'x': 2.056704555e-10, 'y': 3.65567313e-10, 'z': 4.0405707763894707e-10, 'element': 'Br'}, {'x': 0, 'y': 3.65567313e-10, 'z': 9.7367420121012e-11, 'element': 'Cu'}]}, 'natoms': 4, 'element': {'Br': 3, 'Cu': 1}}]",PN_AP425QELAPHENEAFRK35UV26K5ONP5UG,"{'reference': {'Br': 'https://nomad-lab.eu/prod/rae/gui/entry/id/HQMYKHP6Soitf8Zcgmf6SQ/7DmDJRePJNTiaaJiAv-YuiT0_OyO', 'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/uVTSZjDVQgSURDhx2j8aTT9Zvd6S'}, 'value_per_atom': 0.007896333536814737, 'value': 0.03158533414725895}"
Ni12Sr4,Pnma,"[{'data': {'a': [5.67769912e-10, 0, 0], 'b': [0, 7.266960280000001e-10, 0], 'c': [0, 0, 6.51906147e-10], 'atoms': [{'x': 8.461880386253169e-11, 'y': -1.0306579339046205e-10, 'z': 4.889296102499999e-10, 'element': 'Ni'}, {'x': 3.685037598625317e-10, 'y': 4.664138073904622e-10, 'z': 1.6297653675e-10, 'element': 'Ni'}, {'x': 1.9926615213746832e-10, 'y': 2.60282220609538e-10, 'z': 4.889296102499999e-10, 'element': 'Ni'}, {'x': 4.831511081374683e-10, 'y': 1.0306579339046205e-10, 'z': 1.6297653675e-10, 'element': 'Ni'}, {'x': 3.291685922267822e-10, 'y': 2.5795164104509947e-10, 'z': 4.3886126244195895e-11, 'element': 'Ni'}, {'x': 4.528363622678224e-11, 'y': 1.0539637295490056e-10, 'z': -4.3886126244195895e-11, 'element': 'Ni'}, {'x': 5.224862757732178e-10, 'y': 6.212996550450995e-10, 'z': 2.8206694725580407e-10, 'element': 'Ni'}, {'x': 2.3860131977321775e-10, 'y': 4.687443869549006e-10, 'z': 3.698391997441959e-10, 'element': 'Ni'}, {'x': 2.3860131977321775e-10, 'y': 4.687443869549006e-10, 'z': -4.3886126244195895e-11, 'element': 'Ni'}, {'x': 5.224862757732178e-10, 'y': 6.212996550450995e-10, 'z': 4.3886126244195895e-11, 'element': 'Ni'}, {'x': 4.528363622678224e-11, 'y': 1.0539637295490056e-10, 'z': 3.698391997441959e-10, 'element': 'Ni'}, {'x': 3.291685922267822e-10, 'y': 2.5795164104509947e-10, 'z': 2.8206694725580407e-10, 'element': 'Ni'}, {'x': 3.5279753510917656e-10, 'y': 1.5115844205301844e-11, 'z': 4.889296102499999e-10, 'element': 'Sr'}, {'x': 6.891257910917655e-11, 'y': 3.482321697946982e-10, 'z': 1.6297653675e-10, 'element': 'Sr'}, {'x': 4.988573328908234e-10, 'y': 3.784638582053019e-10, 'z': 4.889296102499999e-10, 'element': 'Sr'}, {'x': 2.1497237689082343e-10, 'y': -1.5115844205301844e-11, 'z': 1.6297653675e-10, 'element': 'Sr'}]}, 'natoms': 16, 'element': {'Ni': 12, 'Sr': 4}}]",PN_24TQZ5XCFGSJQ7IQAS532EWGRNWNMOWZ,"{'reference': {'Ni': 'https://nomad-lab.eu/prod/rae/gui/entry/id/q7lAKuoOTPWL1mJ5gkMDhg/2z6qKgNMlPjxK4R1fKqhhgll26lp', 'Sr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/CPX8DdIcSHGs-SRkG5ebRQ/9CyQcCUbCgpVbqUi9LKvMkTBuex3'}, 'value_per_atom': 0.06001110167353474, 'value': 0.9601776267765558}"
Ga13Nb5,Cmmm,"[{'data': {'a': [1.89726741e-10, -2.0268430290000003e-09, 0], 'b': [-3.79453483e-10, 0, 0], 'c': [0, 0, -3.78616543e-10], 'atoms': [{'x': -5.472330845492384e-20, 'y': -2.2183111879461201e-10, 'z': 0, 'element': 'Ga'}, {'x': -1.6507893768438335e-19, 'y': -6.691781975474187e-10, 'z': 0, 'element': 'Ga'}, {'x': -2.285603022648871e-18, 'y': -1.5741907088872166e-09, 'z': 0, 'element': 'Ga'}, {'x': -1.8972673971439695e-10, 'y': -4.5265232011278383e-10, 'z': 0, 'element': 'Ga'}, {'x': -1.8972674183492106e-10, 'y': -1.3576648314525817e-09, 'z': 0, 'element': 'Ga'}, {'x': -1.897267419452767e-10, 'y': -1.8050119102053883e-09, 'z': 0, 'element': 'Ga'}, {'x': 0, 'y': 0, 'z': -1.893082715e-10, 'element': 'Ga'}, {'x': 1.6693467641267995e-18, 'y': -9.239187409668676e-10, 'z': -1.893082715e-10, 'element': 'Ga'}, {'x': -3.3547574063038333e-19, 'y': -1.3599133300352332e-09, 'z': -1.893082715e-10, 'element': 'Ga'}, {'x': -2.3423072837218556e-18, 'y': -1.8040520176152843e-09, 'z': -1.893082715e-10, 'element': 'Ga'}, {'x': -1.8972673965769266e-10, 'y': -2.2279101138471613e-10, 'z': -1.893082715e-10, 'element': 'Ga'}, {'x': -1.8972674166452423e-10, 'y': -6.669296989647672e-10, 'z': -1.893082715e-10, 'element': 'Ga'}, {'x': -1.8972674366934676e-10, 'y': -1.1029242880331329e-09, 'z': -1.893082715e-10, 'element': 'Ga'}, {'x': 1.6137804372296875e-18, 'y': -1.1491672387189555e-09, 'z': 0, 'element': 'Nb'}, {'x': -1.897267415e-10, 'y': 0, 'z': 0, 'element': 'Nb'}, {'x': -1.8972674361378038e-10, 'y': -8.77675790281045e-10, 'z': 0, 'element': 'Nb'}, {'x': 1.7889831568616384e-18, 'y': -4.3895041533127747e-10, 'z': -1.893082715e-10, 'element': 'Nb'}, {'x': -1.8972674378898313e-10, 'y': -1.5878926136687229e-09, 'z': -1.893082715e-10, 'element': 'Nb'}]}, 'natoms': 18, 'element': {'Nb': 5, 'Ga': 13}}]",PN_H2Y42YEWUN6U7CG2F7WDU2KB6W5FSMOI,"{'reference': {'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VshkgA9fRVaBUM1A99_pTA/SkZzn86pJBf-CXtzQK5HKiPlxmMz', 'Ga': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/2ERN7ZvJrgUF_ixLeiC-2pn_xLJl'}, 'value_per_atom': -0.3496700897289181, 'value': -6.294061615120526}"
Eu4I8,P2_1/c,"[{'data': {'a': [7.66674e-10, 0, -8.823400000000001e-12], 'b': [0, 8.135164e-10, 0], 'c': [-1.190784e-10, 0, 7.792696e-10], 'atoms': [{'x': 5.80275969716892e-10, 'y': 7.69416961311912e-10, 'z': 1.4266001305011402e-10, 'element': 'Eu'}, {'x': 1.26858989213592e-10, 'y': 3.6265898096133997e-10, 'z': 2.38151999661148e-10, 'element': 'Eu'}, {'x': 5.20736962282752e-10, 'y': 4.5085697160464e-10, 'z': 5.32295005308728e-10, 'element': 'Eu'}, {'x': 6.731898657037202e-11, 'y': 4.4098999389232e-11, 'z': 6.277859921043821e-10, 'element': 'Eu'}, {'x': 5.4694997963040003e-11, 'y': 5.95489969758656e-10, 'z': 4.46199990396e-12, 'element': 'I'}, {'x': 2.90016982368828e-10, 'y': 9.5183997646988e-11, 'z': 1.57897006192954e-10, 'element': 'I'}, {'x': 4.1711797564720806e-10, 'y': 5.019419698623959e-10, 'z': 2.2291401081790002e-10, 'element': 'I'}, {'x': 6.52439960052996e-10, 'y': 1.88731989408084e-10, 'z': 3.76349017106894e-10, 'element': 'I'}, {'x': -4.844001804359994e-12, 'y': 6.24784963783068e-10, 'z': 3.9409699207434005e-10, 'element': 'I'}, {'x': 2.3047798260142803e-10, 'y': 3.11574983328756e-10, 'z': 5.47531998363334e-10, 'element': 'I'}, {'x': 3.5757896821306807e-10, 'y': 7.18332963679328e-10, 'z': 6.12549003076514e-10, 'element': 'I'}, {'x': 5.92900960285596e-10, 'y': 2.1802699156765998e-10, 'z': 7.65984009277274e-10, 'element': 'I'}]}, 'natoms': 12, 'element': {'Eu': 4, 'I': 8}}]",PN_SOLVCMG7PB74N4QNWJIMRM2Z2IQEADKW,"{'reference': {'Eu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/xnzHUScqwfp6EIa2HqvVVs-k4kJM', 'I': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/UuwV3j-OlSP2VAyed1nJ8kM9NeTZ'}, 'value_per_atom': -1.877240265112853, 'value': -22.526883181354236}"
V6W18,Pmmn,"[{'data': {'a': [5.59955806e-10, 0, 0], 'b': [0, 4.94528961e-10, 0], 'c': [0, 0, 1.38835561e-09], 'atoms': [{'x': 1.399889515e-10, 'y': 0, 'z': 3.470889025e-10, 'element': 'V'}, {'x': 1.399889515e-10, 'y': 3.2968597564842987e-10, 'z': 8.098741012054813e-10, 'element': 'V'}, {'x': 1.399889515e-10, 'y': 3.2968597564842987e-10, 'z': 1.2726593137945189e-09, 'element': 'V'}, {'x': 4.199668545e-10, 'y': 0, 'z': 1.0412667075000001e-09, 'element': 'V'}, {'x': 4.199668545e-10, 'y': 1.6484298535157012e-10, 'z': 1.156962962054813e-10, 'element': 'V'}, {'x': 4.199668545e-10, 'y': 1.6484298535157012e-10, 'z': 5.784815087945187e-10, 'element': 'V'}, {'x': 0, 'y': 8.242149514842987e-11, 'z': 8.098741012054813e-10, 'element': 'W'}, {'x': 0, 'y': 8.242149514842987e-11, 'z': 1.2726593137945189e-09, 'element': 'W'}, {'x': 0, 'y': 2.472644805e-10, 'z': 3.470889025e-10, 'element': 'W'}, {'x': 0, 'y': 2.472644805e-10, 'z': 1.0412667075000001e-09, 'element': 'W'}, {'x': 0, 'y': 4.1210746585157015e-10, 'z': 1.156962962054813e-10, 'element': 'W'}, {'x': 0, 'y': 4.1210746585157015e-10, 'z': 5.784815087945187e-10, 'element': 'W'}, {'x': 1.399889515e-10, 'y': 0, 'z': 1.0412667075000001e-09, 'element': 'W'}, {'x': 1.399889515e-10, 'y': 1.6484298535157012e-10, 'z': 1.156962962054813e-10, 'element': 'W'}, {'x': 1.399889515e-10, 'y': 1.6484298535157012e-10, 'z': 5.784815087945187e-10, 'element': 'W'}, {'x': 2.79977903e-10, 'y': 8.242149514842987e-11, 'z': 8.098741012054813e-10, 'element': 'W'}, {'x': 2.79977903e-10, 'y': 8.242149514842987e-11, 'z': 1.2726593137945189e-09, 'element': 'W'}, {'x': 2.79977903e-10, 'y': 2.472644805e-10, 'z': 3.470889025e-10, 'element': 'W'}, {'x': 2.79977903e-10, 'y': 2.472644805e-10, 'z': 1.0412667075000001e-09, 'element': 'W'}, {'x': 2.79977903e-10, 'y': 4.1210746585157015e-10, 'z': 1.156962962054813e-10, 'element': 'W'}, {'x': 2.79977903e-10, 'y': 4.1210746585157015e-10, 'z': 5.784815087945187e-10, 'element': 'W'}, {'x': 4.199668545e-10, 'y': 0, 'z': 3.470889025e-10, 'element': 'W'}, {'x': 4.199668545e-10, 'y': 3.2968597564842987e-10, 'z': 8.098741012054813e-10, 'element': 'W'}, {'x': 4.199668545e-10, 'y': 3.2968597564842987e-10, 'z': 1.2726593137945189e-09, 'element': 'W'}]}, 'natoms': 24, 'element': {'V': 6, 'W': 18}}]",PN_RWA6TN6EONL5QCVDOY47P2MB74VISCBW,"{'reference': {'V': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/6a_z-sYaeMtEBgvOYDzXel9FP5XK', 'W': 'https://nomad-lab.eu/prod/rae/gui/entry/id/JriGWVUJSX2Vkeya5zzAPw/dcAjiz1dsca03eeBAM-fTgQjR8M_'}, 'value_per_atom': 0.4443461860250674, 'value': 10.664308464601618}"
In5Sb,P4/mmm,"[{'data': {'a': [3.39571604e-10, 0, 0], 'b': [0, 3.39571604e-10, 0], 'c': [0, 0, 1.446384827e-09], 'atoms': [{'x': 0, 'y': 0, 'z': 1.2033599795377512e-09, 'element': 'In'}, {'x': 0, 'y': 0, 'z': 2.4302484746224907e-10, 'element': 'In'}, {'x': 1.69785802e-10, 'y': 1.69785802e-10, 'z': 9.565703948646968e-10, 'element': 'In'}, {'x': 1.69785802e-10, 'y': 1.69785802e-10, 'z': 4.898144321353033e-10, 'element': 'In'}, {'x': 0, 'y': 0, 'z': 7.231924135e-10, 'element': 'In'}, {'x': 1.69785802e-10, 'y': 1.69785802e-10, 'z': 0, 'element': 'Sb'}]}, 'natoms': 6, 'element': {'In': 5, 'Sb': 1}}]",PN_CAJBG6W326GWXKBZYABLMTL2MAENTPFS,"{'reference': {'In': 'https://nomad-lab.eu/prod/rae/gui/entry/id/Zqtd881RT5CfgKZ3B6_mTg/jidMzp8f26ns8Jif2fj8Gy8eG6id', 'Sb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WMu7V8unTIq_ZADrznasag/e0MYdRBQr9wEXHzKsLol9DZ8gMvs'}, 'value_per_atom': 0.02458412351074794, 'value': 0.14750474106448763}"
In3Mn,Cmmm,"[{'data': {'a': [3.0927650500000003e-10, -4.4732326300000004e-10, 0], 'b': [3.0927650500000003e-10, 4.4732326300000004e-10, 0], 'c': [0, 0, 3.29635313e-10], 'atoms': [{'x': 1.5463825250000002e-10, 'y': 2.2366163150000002e-10, 'z': 1.648176565e-10, 'element': 'In'}, {'x': 1.5463825250000002e-10, 'y': -2.2366163150000002e-10, 'z': 1.648176565e-10, 'element': 'In'}, {'x': 3.0927650500000003e-10, 'y': 0, 'z': 0, 'element': 'In'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Mn'}]}, 'natoms': 4, 'element': {'Mn': 1, 'In': 3}}]",PN_T43TQGRCAWNDANSCFQ2XC7I2RBFTWKT2,"{'reference': {'Mn': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/8IffBWYWeF2VvGN-TtippJCbAlST', 'In': 'https://nomad-lab.eu/prod/rae/gui/entry/id/Zqtd881RT5CfgKZ3B6_mTg/jidMzp8f26ns8Jif2fj8Gy8eG6id'}, 'value_per_atom': 0.2284877334658102, 'value': 0.9139509338632408}"
Au2Fe4,I4/mcm,"[{'data': {'a': [-3.00147588e-10, 3.00147588e-10, 2.59150292e-10], 'b': [3.00147588e-10, -3.00147588e-10, 2.59150292e-10], 'c': [3.00147588e-10, 3.00147588e-10, -2.59150292e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 1.29575146e-10, 'element': 'Au'}, {'x': -1.2924697071141057e-26, 'y': 1.2924697071141057e-26, 'z': 3.8872543800000003e-10, 'element': 'Au'}, {'x': 2.1897587239868808e-10, 'y': 8.117171560131193e-11, 'z': 0, 'element': 'Fe'}, {'x': 2.1897586939721222e-10, 'y': -8.11717186027878e-11, 'z': 2.5915029459150296e-10, 'element': 'Fe'}, {'x': 8.117171860278777e-11, 'y': 3.8131930660278785e-10, 'z': -2.5915029274564922e-18, 'element': 'Fe'}, {'x': 8.117171560131194e-11, 'y': 2.1897587239868808e-10, 'z': 2.59150292e-10, 'element': 'Fe'}]}, 'natoms': 6, 'element': {'Au': 2, 'Fe': 4}}]",PN_CCBQDFWMWJOUG7POSFHG7EJKQPGFONE2,"{'reference': {'Au': 'https://nomad-lab.eu/prod/rae/gui/entry/id/VIw_UIvgSh6gxyn98Y4wQg/obkWaha46SJyE2R6mKrpCv-Z4ZwG', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/uv45-FAwcp05wlvr2QydJ3AkRZeu'}, 'value_per_atom': 0.4657313841943183, 'value': 2.79438830516591}"
EuTa,Fm-3m,"[{'data': {'a': [0, 3.057685e-10, 3.057685e-10], 'b': [3.057685e-10, 0, 3.057685e-10], 'c': [3.057685e-10, 3.057685e-10, 0], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Eu'}, {'x': 3.0576801688577003e-10, 'y': 3.0576801688577003e-10, 'z': 3.0576801688577003e-10, 'element': 'Ta'}]}, 'natoms': 2, 'element': {'Eu': 1, 'Ta': 1}}]",PN_UPU4W4YXJJRMUJHEPWFANDJ6T2L7UCYS,"{'reference': {'Eu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/xnzHUScqwfp6EIa2HqvVVs-k4kJM', 'Ta': 'https://nomad-lab.eu/prod/rae/gui/entry/id/mAAfBZKmTQWDVL1ZPRsrVQ/aiinBOOtWpDnw1fT1PNtrrjHAAiJ'}, 'value_per_atom': 1.9821528238551585, 'value': 3.964305647710317}"
KGe3,Immm,"[{'data': {'a': [-1.87671905e-10, 3.08955201e-10, 4.77920586e-10], 'b': [1.87671905e-10, -3.08955201e-10, 4.77920586e-10], 'c': [1.87671905e-10, 3.08955201e-10, -4.77920586e-10], 'atoms': [{'x': 1.8342697065864164e-28, 'y': -6.03577424659255e-28, 'z': -6.771759058039403e-11, 'element': 'Ge'}, {'x': -1.2924697071141057e-26, 'y': 3.08955201e-10, 'z': 2.38960293e-10, 'element': 'Ge'}, {'x': -1.1723107118443223e-27, 'y': -1.1264679192668402e-26, 'z': 5.45638176580394e-10, 'element': 'Ge'}, {'x': 1.87671905e-10, 'y': 0, 'z': 2.38960293e-10, 'element': 'K'}]}, 'natoms': 4, 'element': {'K': 1, 'Ge': 3}}]",PN_6AUCTW44DWLTIAPUQ2YLW7D5EZFTFF6N,"{'reference': {'K': 'https://nomad-lab.eu/prod/rae/gui/entry/id/LNJYtPiDTJ2RgcndgMzMEQ/-0vh5pzaGjLtxl6QcMcZHMEL5lI1', 'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/2eVSxv5n6du3VVsS6uZHLFviKxDn'}, 'value_per_atom': 0.22511370991339819, 'value': 0.9004548396535927}"
NbNi2,I4/mmm,"[{'data': {'a': [3.15661641e-10, 0, 0], 'b': [0, 7.886183150000001e-10, 0], 'c': [0, 0, 3.19608574e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Nb'}, {'x': 1.578308205e-10, 'y': 3.9430915750000003e-10, 'z': 1.59804287e-10, 'element': 'Nb'}, {'x': -3.1883719710845994e-13, 'y': 2.624367261992092e-10, 'z': 0, 'element': 'Ni'}, {'x': 1.5814965769710847e-10, 'y': 6.567458836992092e-10, 'z': 1.59804287e-10, 'element': 'Ni'}, {'x': 1.5751198330289154e-10, 'y': 1.3187243130079086e-10, 'z': 1.59804287e-10, 'element': 'Ni'}, {'x': 3.1883719710845994e-13, 'y': 5.261815888007909e-10, 'z': 0, 'element': 'Ni'}]}, 'natoms': 6, 'element': {'Nb': 2, 'Ni': 4}}]",PN_II3VOYMAY5CLUGOUEU7CAVLLMH7SEJUI,"{'reference': {'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/FsjvRjUORt2wbpq8ej5bOA/861X4hlRjiSg-bvBzuNmZtnnHOYr', 'Ni': 'https://nomad-lab.eu/prod/rae/gui/entry/id/q7lAKuoOTPWL1mJ5gkMDhg/2z6qKgNMlPjxK4R1fKqhhgll26lp'}, 'value_per_atom': -0.2620564037436684, 'value': -1.5723384224620105}"
PdTa,P4/mmm,"[{'data': {'a': [3.9909125e-10, 0, 0], 'b': [0, 3.9909125e-10, 0], 'c': [0, 0, 4.1288508300000005e-10], 'atoms': [{'x': 9.97728125e-11, 'y': 2.9931843749999997e-10, 'z': 0, 'element': 'Pd'}, {'x': 2.9931843749999997e-10, 'y': 9.97728125e-11, 'z': 0, 'element': 'Pd'}, {'x': 9.97728125e-11, 'y': 9.97728125e-11, 'z': 2.0578552159627295e-10, 'element': 'Ta'}, {'x': 2.9931843749999997e-10, 'y': 2.9931843749999997e-10, 'z': 2.070995614037271e-10, 'element': 'Ta'}]}, 'natoms': 4, 'element': {'Pd': 2, 'Ta': 2}}]",PN_KDWH4W7RPIPWCDEJJHJ5YXQVEHZ2L267,"{'reference': {'Pd': 'https://nomad-lab.eu/prod/rae/gui/entry/id/eWp7nSoCThCvuNshTV7OvQ/B_YsxQ9yjPSLQPBbgi6ptP2Q1A64', 'Ta': 'https://nomad-lab.eu/prod/rae/gui/entry/id/HFcfn7V1T0qqPvWety_q2w/Jno4RsivxTTSMHe4wn8p4qW8Ef6G'}, 'value_per_atom': -0.2949298433654892, 'value': -1.1797193734619569}"
