formula,space_group,count,median,median_cif_name,other_cif_names
NbNi2,I4/mmm,3,-0.2625785314750324,4860_NbNi2.cif,4398_NbNi2.cif;4411_NbNi2.cif
Ni2Sb2,P4/nmm,3,-0.0576973778270293,1901_Ni2Sb2.cif,0085_Ni2Sb2.cif;0533_Ni2Sb2.cif
Ni3Ta,Fm-3m,3,-0.1899694483609204,1475_Ni3Ta.cif,0729_Ni3Ta.cif;3371_Ni3Ta.cif
P3Br,Pm-3m,3,1.917565214745004,2517_P3Br.cif,2634_P3Br.cif;3529_P3Br.cif
PI,R-3m,3,0.6765507848780659,0207_PI.cif,0213_PI.cif;0484_PI.cif
Pb2Sb2,Imma,3,0.0611476891897284,1928_Pb2Sb2.cif,0926_Pb2Sb2.cif;1096_Pb2Sb2.cif
Pt2V2,Cmcm,3,-0.4276230445207822,2923_Pt2V2.cif,3176_Pt2V2.cif;4865_Pt2V2.cif
PtSb3,P4/mmm,3,0.0037757119550514,0711_PtSb3.cif,1276_PtSb3.cif;1311_PtSb3.cif
Sb4Ge2,Cmcm,3,0.2403865894397162,0380_Sb4Ge2.cif,0589_Sb4Ge2.cif;1263_Sb4Ge2.cif
SrW3,Pm-3m,3,5.081497030923587,1656_SrW3.cif,1054_SrW3.cif;1072_SrW3.cif
V3W,P4/mmm,3,-0.0340694370188607,1754_V3W.cif,1638_V3W.cif;2171_V3W.cif
VGe3,P4/mmm,3,0.1074684072566141,3642_VGe3.cif,0600_VGe3.cif;1044_VGe3.cif
VW2,Immm,3,0.4517394004088544,0235_VW2.cif,1845_VW2.cif;2578_VW2.cif
W2As2,P4/nmm,3,0.3709171496726551,0601_W2As2.cif,1592_W2As2.cif;3551_W2As2.cif
Ac4Br6,R-3c,2,-1.4694957375127116,0586_Ac4Br6.cif,3835_Ac4Br6.cif
Ac4I6,R-3c,2,-1.1355718433136048,0015_Ac4I6.cif,1022_Ac4I6.cif
AcAl3,I4/mmm,2,-0.02264098193507895,1841_AcAl3.cif,1968_AcAl3.cif
AcMn,P4/mmm,2,0.38040413934708134,0083_AcMn.cif,0256_AcMn.cif
Ag2Al,I4/mmm,2,-0.0620558139459449,0573_Ag2Al.cif,1003_Ag2Al.cif
Ag2Al4,I4/mcm,2,0.04590864899149735,1894_Ag2Al4.cif,1499_Ag2Al4.cif
Ag2Br6,I4/mmm,2,-0.07752503912293905,3447_Ag2Br6.cif,4980_Ag2Br6.cif
