cif_name,formula,space_group,value per atom,value,id
2983_W2As4.cif,W2As4,Cmcm,0.3283533195803396,1.9701199174820372,PN_T3PPI72U2RKNVHDTISZXGWQOHNIR4OG6
2984_AgMo2.cif,AgMo2,Immm,0.4600579596531962,2.760347757919177,PN_L2LTG5JAM67JJEM3XG4XP3D2G4OGGRBW
2986_CuW3.cif,CuW3,Cmmm,0.2052802225342738,0.8211208901370952,PN_SYQVTQ3QZ53C3ISZEHHTFOWN6GTAXZ2C
2987_Sr6Br18.cif,Sr6Br18,Pmmn,-1.5763172728936563,-37.83161454944776,PN_V6YHRSSNGQTQS4GUILJU6A42OAN34T4B
2988_AlAs.cif,AlAs,Fm-3m,-0.2077627777841586,-0.8310511111366345,PN_A5E2ERRBUULX24W6AAABS4IK5FTGL4WS
2990_Al4Pd4.cif,Al4Pd4,Pnma,-0.7855255843605562,-6.28420467488445,PN_FJQ4XVKU5RV6YHTSIJWFP7O6BA44YJ2H
2991_Mn2W.cif,Mn2W,Fmmm,0.2009777584899078,0.6029332754697236,PN_MMWYMBOGJJTUHJIYR6ZJV63EXJFAY4JS
2992_Ba8Cu4.cif,Ba8Cu4,Pa-3,0.0528366697050458,0.6340400364605507,PN_2SEQ5HNTMLZESBIXRQJY7G27JKMKMCRY
2993_Ir5Mn.cif,Ir5Mn,F-43m,0.755012571259782,4.5300754275586925,PN_YKVQSIBJ6OUACRJRDND5N5DVZ45Y4CXZ
2994_CaBr3.cif,CaBr3,Pm-3m,-1.1215024322719191,-4.486009729087677,PN_NQY3S4WMEJZYUHETZWGZXAYBBMXFMIIY
2995_RbSm.cif,RbSm,F-43m,1.5119832722711608,3.0239665445423216,PN_QZSDRIK722GRRP5XVURV2HLEIP4P2CGQ
2996_NaRh.cif,NaRh,Pm-3m,0.7276111557127489,1.4552223114254978,PN_FA6PRXJBA4VHA6VXUEE2IMZ6FFDS5AAD
2997_Ta3Sb5.cif,Ta3Sb5,Cmmm,0.3737763057917291,2.9902104463338333,PN_XVFQMKYXV7PSM5EBTZEAQUIL2HLCHJ43
2998_Ta2Sb2.cif,Ta2Sb2,I4_1/amd,0.3728647878519764,1.4914591514079056,PN_RB6ILX4KQKQSHFQU24KMPTI6DKM2FUBE
2999_CrTh.cif,CrTh,Fm-3m,0.8233719021763974,1.6467438043527949,PN_ROBA27CUG5VXDJESL7N7LGS4YIFVF7GV
3000_Cu8Ta4.cif,Cu8Ta4,Pnma,0.1459014699692117,1.7508176396305402,PN_INHDB7G22QVSRSV3ERFLFK3CTI26DRSU
3001_Ir2Rh2.cif,Ir2Rh2,P4/nmm,-0.0085060714919453,-0.0340242859677815,PN_5BG6UKGKXDTU7LRA77HL6H7TG252XR3H
3002_Na2P2.cif,Na2P2,Imma,-0.3394175410175988,-1.3576701640703952,PN_LAQIUK6ZCA7DLX4ATED656FQ3EWJTGE2
3003_Sn3W.cif,Sn3W,Pmmm,0.4237881929144711,1.6951527716578845,PN_E24XMRL5BA57BIKTK7IM5FHWYXIJOF2T
3004_MnSb.cif,MnSb,Fm-3m,0.1459415094975815,0.2918830189951631,PN_BFS5QZFGXJHELA23H24ERMN2HGQWD4DW
3005_FeTa3.cif,FeTa3,Immm,-0.0214997259267128,-0.0859989037068515,PN_X7QNIBN26EHTNN2IHED2JCW5VZPD4X4Z
3006_Ca2Cu4.cif,Ca2Cu4,Pnnm,0.1830056481666944,1.0980338890001669,PN_LA3VYBGZKMPUP2XYWV3HIXMQQX37O54U
3007_AgNb.cif,AgNb,Fm-3m,1.2152851656673,2.4305703313346,PN_NNWLGT7XU2436EWOXTRRLWGJHJKINDSJ
3008_AcTh.cif,AcTh,P-6m2,0.151782232483872,0.303564464967744,PN_VGME5KZ7KZZ5XJLVL4MJVH4HEUY6CU45
3009_IrNi2.cif,IrNi2,Immm,0.1371037863756683,0.82262271825401,PN_TL2CRFSVXIZAKGJMOR5LJUN2HU4ZVFVU
3010_IrTa5.cif,IrTa5,C2/m,-0.2895005288566518,-1.737003173139911,PN_QXJ6Q3WYPAH6RWF3EWJNOB4NA6HLLHBT
3011_Sr3Sb.cif,Sr3Sb,Immm,-0.5052053612735352,-2.020821445094141,PN_PBC47M7RJJWSKFSAV22V62EZS3OZPOM5
3012_Mo8V16.cif,Mo8V16,Fd-3m,0.2939021979591227,7.053652751018944,PN_HNDDZONIVXZFRL45NSRHXOV6Y4ZAU5FI
3013_Ni2Ge2.cif,Ni2Ge2,Cmcm,-0.0762614153655016,-0.3050456614620067,PN_6H5WEBF3X5HFXO6IWRT6UMK7KR2OBL4E
3015_NaBr.cif,NaBr,Fm-3m,-1.7192765439625828,-3.4385530879251656,PN_4LZPXCPCRSHGKDVBRI5YESP2FSOIHDJB
3016_K3P.cif,K3P,Fm-3m,-0.1935027218734912,-0.7740108874939651,PN_HTNC2PKXRCFQ573AK7A7TOHHPS4RCRAT
3017_Cu5Br3.cif,Cu5Br3,Cmmm,0.2481934826088245,1.9855478608705963,PN_OAZBQXU2S35H7EBN7TTDN6SC6KQPX7KY
3018_Ir3Ta3.cif,Ir3Ta3,Cm,-0.4363903598925691,-2.6183421593554144,PN_5SCOQLXFL6SP6O7BBVI7WZ7MQIW34MQA
3019_Au4Ni3.cif,Au4Ni3,I4/mmm,0.0763955927040973,0.5347691489286817,PN_CC7UZMQ46R55RCDQPDJMDXMWRMBRFAKD
3020_Ir2Rh6.cif,Ir2Rh6,I4/mmm,0.0023693738483077,0.0189549907864616,PN_HXP6556MYMFCAO6S6HLMTCPMIKANLVVP
3021_Pb2P4.cif,Pb2P4,I4/mcm,0.1152849570185339,0.691709742111204,PN_VWB2LTFWF5BFNPE25OJKS4FLEIHASAZJ
3022_Ca4Sb2.cif,Ca4Sb2,Imma,-0.5586557175776031,-3.351934305465619,PN_OBWOHFPGLXALWRGNTW5ZICH7EPIVKOBU
3023_Mo2Rh2.cif,Mo2Rh2,I4_1/amd,-0.0590279724766471,-0.2361118899065886,PN_QUJMSE6LPK6KEWWYVTN4RZSNMMSGRTAN
3024_Ag2Nb4.cif,Ag2Nb4,Pnnm,0.5705474645153797,3.4232847870922782,PN_IR5YPUNDM5VNOSYFXFCW5TD6BYDHIWAW
3025_Al4Mo12.cif,Al4Mo12,Pnma,0.092877692840064,1.4860430854410254,PN_RWNU277CNEV6NZXKM356PPHZGWQW2W5N
3026_NbU.cif,NbU,P4/mmm,0.2441585290147419,0.4883170580294838,PN_FMQLYJCPK5UENUKIXGXYWKXLHCRL4PSU
3027_Cu5W.cif,Cu5W,Cmmm,0.3101269911022661,1.8607619466135965,PN_P5GUAFN3ACQPIFG7MPMWZ446VFGG4WT6
3028_CuRb3.cif,CuRb3,Pm-3m,0.3439376052650318,1.3757504210601272,PN_73LWACZHU76XW5QI2O52KVWOKJJ4HDZ6
3029_PdP3.cif,PdP3,Cmmm,0.298335614350143,1.193342457400572,PN_KN3MAHHKAYPFNAQSIYDJVSNTDR453MUN
3031_Ag2Nb4.cif,Ag2Nb4,C2/m,0.2099083340294889,1.2594500041769336,PN_QY6UVJPUE56EV25Q2GDOXH7IVJCKDFSX
3032_Sr2As.cif,Sr2As,I4/mmm,-0.7210184155352634,-2.16305524660579,PN_PYOCAQN4JSCZWHEZQF3K4JFFTCKXHPEN
3033_Ba2Rh2.cif,Ba2Rh2,P4/nmm,0.1303739087458275,0.5214956349833102,PN_QQCSKGYCCI2BMGPQKPMJD3L2W45VAECT
3035_Al4Mo4.cif,Al4Mo4,Pnma,-0.1782901372976288,-1.426321098381031,PN_CCD3BNSFUJDCLLOP2ORZP4TBJ6GQVTHA
3036_BaTh.cif,BaTh,Fm-3m,1.2727127622763716,2.5454255245527437,PN_LLERLJBDDGJDHWU4I2I2M74KCEXAEI37
3037_NaBr.cif,NaBr,Pm-3m,-1.574279165099012,-3.148558330198024,PN_UTOXUNQEVOSYYTZSTLK53G63CDHLDQYH
3038_Mo6W18.cif,Mo6W18,Pmmn,0.3806163891724476,9.134793340138742,PN_22BP6JUGF4NEV6KY4Y4EWG3A3JQGMMPE
3039_AcK.cif,AcK,P-6m2,0.2746965595428734,0.5493931190857468,PN_NHRBWLHPGZJHM7TDQIPKBW42EKPWW4WY
3040_Ag3Th.cif,Ag3Th,Pm-3m,0.1393382812825816,0.5573531251303265,PN_P2SZQVDEN57DJR3RSYUBSN77B7QNSZMT
3041_In2Sn2.cif,In2Sn2,Cmcm,0.024598304626076,0.0983932185043041,PN_U366353PCZFNAWWZSNRBOR5XS3RPTI7O
3042_RhTa.cif,RhTa,F-43m,0.6853395561039957,1.370679112207991,PN_INPLPMEFOAX5LXTDKUNNOWRHOP4BATZ5
3043_Mo2W2.cif,Mo2W2,Cmcm,0.4147867774643377,1.6591471098573507,PN_S3PEDP2IGNYRKEYYTEZ677QJI2UG3YO4
3044_AcEu.cif,AcEu,P-6m2,-0.0349858715953028,-0.0699717431906057,PN_HIQQM73Q3GYZRTUU3GGFV5BYLH5VEBA7
3045_Al2Fe2.cif,Al2Fe2,Pmmn,-0.1400259878698495,-0.5601039514793982,PN_MBRN66WMFY3P44KDWV5UH2WPHA6UC6FP
3046_Sr2Br.cif,Sr2Br,Fmmm,-0.9625135229918774,-11.55016227590253,PN_2EQQRGSENUDNX22CXFQEY5OQ6URPD6IU
3048_Ca2Sb.cif,Ca2Sb,I4/mmm,-0.608186648123708,-3.649119888742249,PN_KDMBLRQIL4OG2RFHNH56I6IJW4U7UUWS
3049_Cu4Nb2.cif,Cu4Nb2,Fd-3m,0.1075456800006845,0.645274080004107,PN_MUXIBCTICR44Y5MIFDOJBJROKIOGFHTK
3050_Al2Th.cif,Al2Th,P6/mmm,-0.4624325030747513,-1.387297509224254,PN_UEF7CCCNRC6BWDZAOW23EVVRVMO7FXV3
3051_Ag2Ir4.cif,Ag2Ir4,Fd-3m,0.5584920547057214,3.350952328234328,PN_X4WZGRSY2MKK5IZPOE72AL4W6RSEMTUR
