file_name,formula,space_group,value_per_atom,composition,HHI_P,HHI_R
174_PbSr7,PbSr7,Fm-3m,-0.030999434316967,Sr7Pb,3821.225046920321,2696.980037536257
175_Fe3As,Fe3As,Cmmm,0.0166827533278075,Fe3As,2678.109319358599,2203.426922591507
176_In3K,In3K,Cmmm,-0.0780771556712189,KIn3,3136.900261059574,2530.074151556385
177_Au3Sr,Au3Sr,Pm-3m,0.7382655086643606,SrAu3,1500.31556518962,1258.268106573948
178_SrW2,SrW2,Fm-3m,3.2276063672278554,SrW2,6461.155282231495,4049.822095321766
179_Al2Rh,Al2Rh,P4/mmm,-0.6991817297737448,Al2Rh,2649.59707634806,5591.987209022764
180_Pd2Rh2,Pd2Rh2,P4/nmm,0.0643234389585014,PdRh,3200.0,8000.0
181_WSb,WSb,F-43m,1.5974823249986905,SbW,7358.586387434554,3941.413612565445
182_Cu6Ni2,Cu6Ni2,Pm-3n,0.1032142976761845,Cu3Ni,1458.75810266978,1500.0
183_AgP3,AgP3,Fm-3m,0.6377887469169732,AgP3,1570.223711813277,3112.284667136405
184_W3Sb,W3Sb,Fm-3m,0.6142879079802093,SbW3,7162.761406844107,4137.238593155894
185_AgSn,AgSn,P4/mmm,0.0542811791472521,AgSn,1933.495102353183,1504.785014621883
186_Ir2Mo6,Ir2Mo6,Cmcm,0.0459888007119957,Mo3Ir,3641.305774346561,6821.600626618365
187_Ta2Ge2,Ta2Ge2,P4/nmm,0.1017352688524066,TaGe,3159.347063432211,3969.297838682196
188_BiBr,BiBr,P-6m2,-0.3222004881677978,BiBr,4746.809865814837,6248.935560383321
189_CaW2,CaW2,I4/mmm,0.6406378987075527,CaW2,6695.305058392478,4024.791665644818
190_CrCu,CrCu,Fm-3m,0.99933812170078,CrCu,2275.027976815377,2670.048493146654
191_Mo4Nb,Mo4Nb,Im-3m,1.5855713652165122,NbMo4,3588.942501042343,5982.180123548886
193_Eu8Ge4,Eu8Ge4,Pnma,-0.8865988076880225,Eu2Ge,8689.819634169658,2868.519895477046
194_Al12Pb12,Al12Pb12,Pbcm,0.2570537015373606,AlPb,2573.262031510114,1707.826932007355
195_Ni6Ge18,Ni6Ge18,Pmmn,0.2198266953462753,NiGe3,4387.601612937045,1815.125731436004
196_Au8Mn4,Au8Mn4,Pnma,-0.0326742680376834,MnAu2,1161.195780750309,1097.913249200495
